,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Kawhi Leonard,33:42,10.0,19.0,52.6,2.0,5.0,40.0,2.0,3.0,66.7,1.0,5.0,6.0,5.0,4.0,1.0,2.0,0.0,24.0,24.0,01/01/2024,Miami Heat,49.0,DEN @ GSW
Paul George,33:46,7.0,14.0,50.0,3.0,8.0,37.5,6.0,6.0,100.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,4.0,23.0,14.0,01/01/2024,Miami Heat,31.75,DEN @ GSW
Ivica Zubac,28:48,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,1.0,0.0,0.0,1.0,4.0,6.0,28.0,01/01/2024,Miami Heat,22.0,DEN @ GSW
Terance Mann,17:47,5.0,7.0,71.4,1.0,2.0,50.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,12.0,8.0,01/01/2024,Miami Heat,15.75,DEN @ GSW
James Harden,31:29,5.0,8.0,62.5,3.0,5.0,60.0,2.0,2.0,100.0,0.0,4.0,4.0,10.0,1.0,2.0,2.0,1.0,15.0,26.0,01/01/2024,Miami Heat,41.5,DEN @ GSW
Russell Westbrook,17:53,4.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,2.0,0.0,8.0,-4.0,01/01/2024,Miami Heat,20.5,DEN @ GSW
Norman Powell,33:01,9.0,11.0,81.8,4.0,5.0,80.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,22.0,13.0,01/01/2024,Miami Heat,33.0,DEN @ GSW
Amir Coffey,18:32,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,-7.0,01/01/2024,Miami Heat,9.75,DEN @ GSW
Daniel Theis,16:17,2.0,3.0,66.7,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,-8.0,01/01/2024,Miami Heat,6.25,DEN @ GSW
Brandon Boston Jr.,2:55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,01/01/2024,Miami Heat,0.0,DEN @ GSW
Kobe Brown,2:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,01/01/2024,Miami Heat,-0.5,DEN @ GSW
Moussa Diabate,2:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,01/01/2024,Miami Heat,1.25,DEN @ GSW
