,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Paul George,29:39,9.0,15.0,60.0,6.0,10.0,60.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,2.0,2.0,24.0,22.0,01/05/2024,New Orleans Pelicans,38.25,OKC @ BKN
Kawhi Leonard,29:35,7.0,15.0,46.7,2.0,4.0,50.0,3.0,4.0,75.0,2.0,7.0,9.0,2.0,1.0,1.0,2.0,1.0,19.0,6.0,01/05/2024,New Orleans Pelicans,37.25,OKC @ BKN
Ivica Zubac,23:25,6.0,7.0,85.7,0.0,0.0,0.0,3.0,4.0,75.0,0.0,8.0,8.0,2.0,0.0,2.0,1.0,3.0,15.0,18.0,01/05/2024,New Orleans Pelicans,31.5,OKC @ BKN
Terance Mann,16:33,2.0,3.0,66.7,2.0,3.0,66.7,2.0,2.0,100.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0,11.0,01/05/2024,New Orleans Pelicans,16.25,OKC @ BKN
James Harden,29:00,2.0,7.0,28.6,1.0,6.0,16.7,3.0,3.0,100.0,0.0,3.0,3.0,13.0,0.0,0.0,1.0,2.0,8.0,18.0,01/05/2024,New Orleans Pelicans,31.25,OKC @ BKN
Russell Westbrook,21:52,3.0,6.0,50.0,1.0,3.0,33.3,1.0,2.0,50.0,2.0,3.0,5.0,5.0,2.0,2.0,4.0,2.0,8.0,7.0,01/05/2024,New Orleans Pelicans,28.25,OKC @ BKN
Daniel Theis,17:24,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,01/05/2024,New Orleans Pelicans,7.75,OKC @ BKN
Norman Powell,25:00,5.0,13.0,38.5,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,36.0,01/05/2024,New Orleans Pelicans,23.25,OKC @ BKN
Amir Coffey,20:54,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,01/05/2024,New Orleans Pelicans,8.75,OKC @ BKN
Mason Plumlee,7:11,2.0,2.0,100.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,-15.0,01/05/2024,New Orleans Pelicans,10.5,OKC @ BKN
Kobe Brown,6:29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,01/05/2024,New Orleans Pelicans,0.0,OKC @ BKN
Bones Hyland,6:29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-12.0,01/05/2024,New Orleans Pelicans,3.5,OKC @ BKN
Brandon Boston Jr.,6:29,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-12.0,01/05/2024,New Orleans Pelicans,5.5,OKC @ BKN
