,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Royce O'Neale,36:04,5.0,12.0,41.7,3.0,6.0,50.0,0.0,0.0,0.0,2.0,9.0,11.0,5.0,1.0,1.0,0.0,2.0,13.0,5.0,01/05/2022,Denver Nuggets,39.75
Bojan Bogdanovic,40:16,12.0,20.0,60.0,1.0,6.0,16.7,11.0,13.0,84.6,0.0,13.0,13.0,4.0,1.0,0.0,1.0,1.0,36.0,0.0,01/05/2022,Denver Nuggets,60.25
Udoka Azubuike,15:36,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,-8.0,01/05/2022,Denver Nuggets,9.75
Donovan Mitchell,36:12,8.0,22.0,36.4,1.0,9.0,11.1,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,17.0,-1.0,01/05/2022,Denver Nuggets,25.5
Mike Conley,29:09,4.0,11.0,36.4,2.0,4.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,0.0,0.0,10.0,10.0,01/05/2022,Denver Nuggets,27.0
Rudy Gay,28:59,6.0,9.0,66.7,4.0,7.0,57.1,2.0,2.0,100.0,3.0,4.0,7.0,1.0,1.0,2.0,0.0,4.0,18.0,14.0,01/05/2022,Denver Nuggets,36.25
Jordan Clarkson,30:39,5.0,13.0,38.5,3.0,8.0,37.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,5.0,13.0,3.0,01/05/2022,Denver Nuggets,19.25
Eric Paschall,13:08,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,01/05/2022,Denver Nuggets,5.5
Trent Forrest,9:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,01/05/2022,Denver Nuggets,5.25
