IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 4.1,6,3,3,1,3,2,8.56,20,79,50,31,7,12,3,13,2,0,41,,,-0.078, 0.75, 0.00%, 0.00, -0.6,73° F, Wind 0mph, In Dome.
 0.2,0,0,0,0,0,0,1.95,2,10,5,3,0,2,1,1,0,0,,0,0,0.013, 0.24, 0.00%, 0.00, 0.3,73° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,0,0,3.02,5,11,8,6,0,2,4,1,0,0,,0,0,0.077, 1.95, 0.00%, 0.00, 0.5,73° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,1,0,2.35,4,21,16,12,2,2,0,3,2,0,,0,0,0.090, 1.54, 0.00%, 0.00, 0.5,73° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,2,0,2.95,3,19,11,4,3,4,0,1,0,0,,0,0,0.146, 1.88, 0.00%, 0.00, 0.5,73° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,2,0,6.59,3,11,7,3,2,2,1,0,0,0,,0,0,0.209, 2.71, 0.00%, 0.00, 0.5,73° F, Wind 0mph, In Dome.
