IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 5 ,4,3,3,1,4,1,5.09,20,70,45,28,7,10,4,11,4,0,50,,,-0.049, 0.84, 0.00%, 0.00, -0.4,75° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,1,0,2.00,3,12,9,5,1,3,2,0,0,0,,0,0,0.089, 1.16, 0.00%, 0.00, 0.5,75° F, Wind 0mph, In Dome.
 2 ,0,0,0,0,3,0,2.43,6,21,16,9,3,4,1,2,0,0,,0,0,0.201, 1.31, 0.00%, 0.00, 1.0,75° F, Wind 0mph, In Dome.
 1 ,3,2,2,0,2,1,7.11,6,18,14,5,7,2,2,2,1,0,,0,0,-0.406, 3.14, 0.00%, 0.00, -1.5,75° F, Wind 0mph, In Dome.
 1.1,1,1,0,2,2,0,3.09,7,28,15,10,1,4,1,2,1,0,,0,0,-0.063, 4.26, 0.00%, 0.00, 0.1,75° F, Wind 0mph, In Dome.
 0.2,0,0,0,1,2,0,6.63,3,10,6,1,4,1,0,0,0,0,,2,0,0.325, 5.40, 0.00%, 0.00, 1.2,75° F, Wind 0mph, In Dome.
 1 ,1,1,0,0,1,0,5.09,4,15,11,5,4,2,1,2,1,0,,0,0,0.001, 0.03, 0.00%, 0.00, 0.1,75° F, Wind 0mph, In Dome.
