,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Cole Irvin, W (6-7)", 7 ,4,2,2,1,4,1,3.05,26,99,68,47,8,13,8,13,7,0,64,,,0.215, 1.05, 0.00%, 0.00, 1.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
"Domingo Acevedo, H (15)", 1 ,1,0,0,1,0,0,2.93,5,7,5,4,1,0,1,3,1,0,,0,0,0.074, 1.42, 0.00%, 0.00, 0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
"A.J. Puk, S (2)", 1 ,0,0,0,0,1,0,2.13,3,9,6,3,3,0,2,0,0,0,,0,0,0.073, 0.96, 0.00%, 0.00, 0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
