,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Nassir Little,20:17,4.0,7.0,57.1,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,-5.0,12/12/2021,Minnesota Timberwolves,15.0
Larry Nance Jr.,25:35,3.0,6.0,50.0,0.0,2.0,0.0,2.0,4.0,50.0,4.0,8.0,12.0,3.0,0.0,1.0,1.0,4.0,8.0,-2.0,12/12/2021,Minnesota Timberwolves,29.0
Jusuf Nurkic,21:15,3.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,5.0,7.0,1.0,1.0,1.0,4.0,5.0,8.0,-22.0,12/12/2021,Minnesota Timberwolves,20.25
Norman Powell,38:31,6.0,11.0,54.5,2.0,4.0,50.0,1.0,2.0,50.0,1.0,1.0,2.0,4.0,1.0,0.0,4.0,2.0,15.0,-22.0,12/12/2021,Minnesota Timberwolves,24.5
Damian Lillard,36:59,5.0,17.0,29.4,3.0,14.0,21.4,11.0,15.0,73.3,3.0,8.0,11.0,6.0,0.0,0.0,5.0,0.0,24.0,-8.0,12/12/2021,Minnesota Timberwolves,45.75
Robert Covington,33:35,1.0,6.0,16.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,4.0,1.0,3.0,3.0,9.0,12/12/2021,Minnesota Timberwolves,31.75
Anfernee Simons,32:36,9.0,20.0,45.0,6.0,12.0,50.0,2.0,3.0,66.7,0.0,1.0,1.0,3.0,0.0,0.0,1.0,5.0,26.0,4.0,12/12/2021,Minnesota Timberwolves,34.25
Dennis Smith Jr.,3:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,12/12/2021,Minnesota Timberwolves,-0.5
Tony Snell,4:37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,12/12/2021,Minnesota Timberwolves,3.0
Ben McLemore,15:27,5.0,6.0,83.3,5.0,6.0,83.3,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,15.0,17.0,12/12/2021,Minnesota Timberwolves,24.5
Trendon Watford,7:26,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,12/12/2021,Minnesota Timberwolves,10.75
