,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,3:06,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,05/12/2022,5.5
Tobias Harris,38:21,6.0,13.0,46.2,2.0,5.0,40.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,1.0,2.0,1.0,0.0,14.0,-17.0,05/12/2022,32.0
Joel Embiid,44:03,7.0,24.0,29.2,2.0,8.0,25.0,4.0,4.0,100.0,4.0,8.0,12.0,2.0,0.0,1.0,2.0,3.0,20.0,-6.0,05/12/2022,40.0
Tyrese Maxey,41:50,9.0,22.0,40.9,1.0,7.0,14.3,1.0,1.0,100.0,1.0,2.0,3.0,4.0,0.0,1.0,4.0,4.0,20.0,-24.0,05/12/2022,30.25
James Harden,42:59,4.0,9.0,44.4,3.0,7.0,42.9,0.0,0.0,0.0,0.0,4.0,4.0,9.0,1.0,0.0,4.0,2.0,11.0,-16.0,05/12/2022,31.0
Matisse Thybulle,11:58,1.0,4.0,25.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,-15.0,05/12/2022,9.0
Paul Reed,3:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-3.0,05/12/2022,2.0
Shake Milton,28:23,6.0,8.0,75.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,15.0,6.0,05/12/2022,30.75
Georges Niang,15:17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,11.0,05/12/2022,4.5
Furkan Korkmaz,7:50,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,05/12/2022,4.5
Isaiah Joe,1:08,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,05/12/2022,3.25
Jaden Springer,1:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,05/12/2022,0.0
