,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,22:24,1.0,6.0,16.7,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,04/16/2022,5.75
Tobias Harris,37:04,9.0,14.0,64.3,3.0,5.0,60.0,5.0,6.0,83.3,1.0,5.0,6.0,6.0,1.0,1.0,1.0,2.0,26.0,17.0,04/16/2022,47.5
Joel Embiid,37:09,5.0,15.0,33.3,0.0,2.0,0.0,9.0,11.0,81.8,4.0,11.0,15.0,4.0,0.0,1.0,0.0,5.0,19.0,16.0,04/16/2022,45.75
Tyrese Maxey,38:26,14.0,21.0,66.7,5.0,8.0,62.5,5.0,5.0,100.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,38.0,20.0,04/16/2022,48.5
James Harden,40:08,6.0,17.0,35.3,4.0,7.0,57.1,6.0,7.0,85.7,2.0,3.0,5.0,14.0,1.0,1.0,1.0,0.0,22.0,14.0,04/16/2022,54.75
Matisse Thybulle,18:49,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,04/16/2022,8.0
Georges Niang,16:20,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,11.0,04/16/2022,11.0
Shake Milton,14:08,3.0,4.0,75.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,04/16/2022,16.75
Paul Reed,10:51,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,04/16/2022,10.75
Furkan Korkmaz,2:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,04/16/2022,1.5
Isaiah Joe,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,04/16/2022,-0.5
