,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,33:44,7.0,9.0,77.8,7.0,9.0,77.8,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,3.0,21.0,17.0,05/06/2022,30.5
Tobias Harris,38:51,4.0,13.0,30.8,1.0,5.0,20.0,0.0,0.0,0.0,3.0,7.0,10.0,8.0,2.0,0.0,2.0,6.0,9.0,11.0,05/06/2022,37.0
Joel Embiid,36:20,5.0,12.0,41.7,0.0,0.0,0.0,8.0,10.0,80.0,1.0,10.0,11.0,1.0,1.0,1.0,4.0,4.0,18.0,8.0,05/06/2022,35.25
Tyrese Maxey,38:36,7.0,11.0,63.6,5.0,6.0,83.3,2.0,2.0,100.0,0.0,2.0,2.0,6.0,2.0,0.0,2.0,2.0,21.0,17.0,05/06/2022,38.0
James Harden,37:53,4.0,11.0,36.4,1.0,7.0,14.3,8.0,8.0,100.0,1.0,7.0,8.0,6.0,0.0,1.0,7.0,4.0,17.0,27.0,05/06/2022,35.0
Matisse Thybulle,19:41,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,-7.0,05/06/2022,8.0
Georges Niang,8:38,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,05/06/2022,6.75
Furkan Korkmaz,6:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/06/2022,0.0
Paul Reed,11:40,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,12.0,05/06/2022,7.25
Shake Milton,8:35,1.0,4.0,25.0,1.0,3.0,33.3,1.0,2.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,15.0,05/06/2022,7.0
