,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,23:19,1.0,10.0,10.0,1.0,9.0,11.1,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,-18.0,05/04/2022,9.5
Tobias Harris,38:20,9.0,17.0,52.9,2.0,5.0,40.0,1.0,1.0,100.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,21.0,-11.0,05/04/2022,41.0
DeAndre Jordan,13:24,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,-9.0,05/04/2022,13.75
Tyrese Maxey,43:27,12.0,22.0,54.5,1.0,4.0,25.0,9.0,11.0,81.8,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,34.0,-10.0,05/04/2022,43.75
James Harden,41:28,6.0,15.0,40.0,1.0,5.0,20.0,7.0,7.0,100.0,1.0,3.0,4.0,9.0,0.0,0.0,3.0,3.0,20.0,-10.0,05/04/2022,37.5
Paul Reed,25:20,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,4.0,-2.0,05/04/2022,16.5
Matisse Thybulle,20:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,-6.0,05/04/2022,6.0
Furkan Korkmaz,18:15,3.0,8.0,37.5,2.0,4.0,50.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,-5.0,05/04/2022,16.0
Georges Niang,10:21,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,3.0,05/04/2022,9.5
Shake Milton,1:23,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-3.0,05/04/2022,1.5
Isaiah Joe,1:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.0,05/04/2022,0.75
Jaden Springer,1:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,05/04/2022,0.0
Charles Bassey,1:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,05/04/2022,3.25
