,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,20:48,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,6.0,-18.0,05/10/2022,11.5
Tobias Harris,32:43,5.0,14.0,35.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,-27.0,05/10/2022,16.75
Joel Embiid,33:01,7.0,12.0,58.3,0.0,1.0,0.0,3.0,3.0,100.0,1.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0,17.0,-29.0,05/10/2022,27.25
Tyrese Maxey,31:31,2.0,10.0,20.0,1.0,4.0,25.0,4.0,4.0,100.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,9.0,-25.0,05/10/2022,15.75
James Harden,37:19,5.0,13.0,38.5,2.0,6.0,33.3,2.0,3.0,66.7,1.0,5.0,6.0,4.0,1.0,0.0,4.0,2.0,14.0,-29.0,05/10/2022,28.5
Georges Niang,16:29,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,05/10/2022,1.25
Matisse Thybulle,10:49,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,-15.0,05/10/2022,5.0
Shake Milton,19:37,2.0,8.0,25.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,4.0,9.0,-3.0,05/10/2022,19.0
Paul Reed,15:56,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,6.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,7.0,-9.0,05/10/2022,25.5
Furkan Korkmaz,8:18,3.0,6.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,-6.0,05/10/2022,9.0
Jaden Springer,6:59,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-7.0,05/10/2022,6.0
Charles Bassey,6:30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,05/10/2022,2.5
