,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Danny Green,24:35,5.0,10.0,50.0,4.0,9.0,44.4,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,14.0,-14.0,04/25/2022,25.0
Tobias Harris,44:09,6.0,16.0,37.5,2.0,7.0,28.6,2.0,2.0,100.0,0.0,7.0,7.0,4.0,0.0,0.0,1.0,2.0,16.0,-16.0,04/25/2022,31.25
Joel Embiid,39:38,7.0,15.0,46.7,0.0,4.0,0.0,6.0,6.0,100.0,1.0,10.0,11.0,4.0,0.0,0.0,4.0,5.0,20.0,-4.0,04/25/2022,37.75
Tyrese Maxey,41:52,5.0,14.0,35.7,0.0,3.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,12.0,-16.0,04/25/2022,22.0
James Harden,39:37,4.0,11.0,36.4,2.0,6.0,33.3,5.0,6.0,83.3,0.0,2.0,2.0,7.0,1.0,1.0,5.0,1.0,15.0,-10.0,04/25/2022,30.5
Matisse Thybulle,14:00,1.0,6.0,16.7,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,-1.0,04/25/2022,6.0
Shake Milton,10:15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,04/25/2022,5.75
Georges Niang,13:17,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,04/25/2022,4.75
Paul Reed,8:22,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,-11.0,04/25/2022,12.0
Furkan Korkmaz,2:16,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,04/25/2022,4.75
Isaiah Joe,1:59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,04/25/2022,-0.5
