,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Duncan Robinson,32:22,2.0,9.0,22.2,1.0,7.0,14.3,1.0,3.0,33.3,0.0,5.0,5.0,3.0,1.0,0.0,1.0,2.0,6.0,-1.0,12/13/2021,Cleveland Cavaliers,18.75
P.J. Tucker,35:05,9.0,15.0,60.0,5.0,8.0,62.5,0.0,0.0,0.0,4.0,5.0,9.0,5.0,0.0,1.0,3.0,3.0,23.0,0.0,12/13/2021,Cleveland Cavaliers,44.75
Dewayne Dedmon,23:16,5.0,7.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,1.0,3.0,10.0,-10.0,12/13/2021,Cleveland Cavaliers,20.75
Gabe Vincent,33:40,4.0,7.0,57.1,2.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,3.0,1.0,10.0,-3.0,12/13/2021,Cleveland Cavaliers,21.25
Kyle Lowry,37:58,8.0,16.0,50.0,4.0,8.0,50.0,2.0,2.0,100.0,0.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,22.0,-11.0,12/13/2021,Cleveland Cavaliers,38.25
Tyler Herro,24:43,6.0,15.0,40.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,12.0,-8.0,12/13/2021,Cleveland Cavaliers,16.5
KZ Okpala,17:23,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,-11.0,12/13/2021,Cleveland Cavaliers,11.25
Omer Yurtseven,19:55,3.0,7.0,42.9,0.0,1.0,0.0,2.0,4.0,50.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,0.0,8.0,-1.0,12/13/2021,Cleveland Cavaliers,20.25
Max Strus,15:38,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-10.0,12/13/2021,Cleveland Cavaliers,5.5
