,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
 Harrison Butker ,110,7070,794,72,65.4,35,22.7,1,0,3,0
 Wil Lutz ,101,6503,862,64,63.4,37,23.3,0,0,0,0
 Stephen Gostkowski ,93,5783,1034,50,53.8,42,24.6,0,0,0,0
 Ka'imi Fairbairn ,92,5885,682,58,63,33,20.7,1,0,0,0
 Justin Tucker ,92,5799,745,58,63,32,23.3,1,0,1,0
 Matt Bosher ,89,5578,818,51,57.3,36,22.7,2,0,0,0
 Cody Parkey ,89,5664,548,65,73,22,24.9,1,1,1,1
 Rigoberto Sanchez ,88,5435,595,59,67,27,22,2,0,0,0
 Aldrick Rosas ,85,5254,570,51,60,28,20.4,4,1,3,0
 Mason Crosby ,83,5168,1013,41,49.4,39,26,3,0,0,1
 Jake Elliott ,82,5210,540,57,69.5,24,22.5,1,0,0,0
 Jason Myers ,82,5255,531,60,73.2,22,24.1,0,0,0,0
 Chris Boswell ,81,5097,640,50,61.7,31,20.6,0,0,0,0
 Randy Bullock ,79,5003,705,45,57,31,22.7,1,0,1,0
 Brett Maher ,77,4984,662,52,67.5,25,26.5,0,0,0,0
 Bradley Pinion ,77,4963,650,52,67.5,25,26,0,0,0,0
 Greg Zuerlein ,75,4843,427,57,76,18,23.7,0,0,0,0
 Sebastian Janikowski ,74,4648,826,42,56.8,30,27.5,2,0,0,1
 Sam Martin ,73,4454,797,34,46.6,34,23.4,5,1,0,0
 Brandon McManus ,73,4473,581,42,57.5,28,20.8,4,0,1,0
 Dustin Hopkins ,70,4443,295,56,80,13,22.7,1,0,0,0
 Jason Sanders ,70,4432,339,55,78.6,13,26.1,1,0,1,1
 Ryan Succop ,70,4480,689,45,64.3,24,28.7,1,0,0,1
 Dan Bailey ,69,4164,714,35,50.7,30,23.8,4,0,2,0
 Greg Joseph ,69,4379,458,47,68.1,20,22.9,1,0,1,0
