,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
 Michael Thomas ,125,1405,9,17,2,72,75,60,2,509,147
 Zach Ertz ,116,1163,8,13,0,34,66,56.9,1,371,156
 DeAndre Hopkins ,115,1572,11,23,4,49,81,70.4,2,402,163
 Julio Jones ,113,1677,8,24,2,58,80,70.8,2,470,170
 Adam Thielen ,113,1373,9,17,3,68,74,65.5,1,435,153
 Davante Adams ,111,1386,13,18,5,57,64,57.7,0,498,169
 JuJu Smith-Schuster ,111,1426,7,18,5,97,68,61.3,1,653,166
 Christian McCaffrey ,107,867,6,11,0,38,41,38.3,2,875,124
 Antonio Brown ,104,1297,15,17,6,78,63,60.6,0,503,168
 Travis Kelce ,103,1336,10,18,2,43,68,66,2,588,150
 Stefon Diggs ,102,1021,9,13,2,75,49,48,0,446,149
 Keenan Allen ,97,1196,6,13,1,54,62,63.9,1,410,136
 Saquon Barkley ,91,721,4,5,2,57,30,33,0,802,121
 George Kittle ,88,1377,5,20,6,85,60,68.2,0,883,136
 Tyreek Hill ,87,1479,12,27,8,75,60,69,0,541,137
 James White ,87,751,7,3,1,42,38,43.7,0,686,123
 Mike Evans ,86,1524,8,26,6,72,69,80.2,1,301,138
 Robert Woods ,86,1219,6,20,0,39,66,76.7,0,434,130
 Alvin Kamara ,81,709,4,7,1,42,31,38.3,0,647,105
 Jarvis Landry ,81,976,4,13,2,51,44,54.3,1,290,149
 Brandin Cooks ,80,1204,5,22,4,57,56,70,1,346,117
 Odell Beckham Jr. ,77,1052,6,17,3,51,51,66.2,0,332,124
 Ezekiel Elliott ,77,567,3,4,0,38,22,28.6,0,594,95
 Tyler Boyd ,76,1028,7,21,1,49,54,71,0,431,108
 T.Y. Hilton ,76,1270,6,22,6,68,55,72.4,0,455,120
