,FF,FR,FR TD
 Dee Ford ,7,0,0
 J.J. Watt ,7,0,0
 Khalil Mack ,6,2,0
 T.J. Watt ,6,0,0
 Justin Houston ,5,3,0
 Aaron Donald ,4,2,0
 Marshon Lattimore ,4,3,0
 Darius Leonard ,4,2,0
 Von Miller ,4,3,0
 Jamal Adams ,3,1,0
 Kiko Alonso ,3,1,0
 Alex Anzalone ,3,0,0
 Frank Clark ,3,2,0
 Samson Ebukam ,3,2,1
 Tre Flowers ,3,1,0
 Trey Flowers ,3,0,0
 Myles Garrett ,3,0,0
 Akiem Hicks ,3,0,0
 Jerry Hughes ,3,0,0
 Grady Jarrett ,3,0,0
 Malcolm Jenkins ,3,1,0
 Chandler Jones ,3,1,0
 Ryan Kerrigan ,3,1,0
 Kyle Love ,3,2,0
 Bradley McDougald ,3,1,0
