,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Marcus Stroman, 4.1,1,1,1,2,6,0,4.69,17,83,49,26,7,16,7,2,1,0,61,,,0.113, 1.05, 0.00%, 0.02, 1.3,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
Brandon Hughes, 1.2,1,0,0,0,4,0,3.65,6,33,20,8,6,6,1,1,1,0,,0,0,0.053, 0.99, 0.00%, 0.01, 0.4,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
Rowan Wick, 1.2,1,0,0,1,2,0,4.81,7,28,17,11,2,4,3,1,0,0,,1,0,0.165, 2.12, 0.00%, 0.03, 1.0,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
Scott Effross, 0.1,0,0,0,0,0,0,3.00,1,4,2,2,0,0,1,0,0,0,,2,0,0.091, 3.52, 0.00%, 0.05, 0.4,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
David Robertson, 2 ,0,0,0,1,3,0,1.98,7,26,18,10,6,2,2,1,1,0,,0,0,0.452, 3.27, 0.00%, 0.05, 1.6,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
"Mychal Givens, L (5-1)", 1 ,1,1,0,0,1,0,2.97,3,14,8,5,1,2,0,2,1,0,,0,0,-0.052, 2.78,-0.00%, 0.04, 0.1,71° F, Wind 5mph in from Centerfield, Cloudy, No Precipitation.
