,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Cedric Mullins CF,5,0,0,0,0,2,5,.260,.322,.387,.709,19,11,-0.157, 1.54,0.000,-0.157%,-0.08%, 1.32, -1.1,4,1,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Adley Rutschman C,3,2,1,0,1,0,5,.240,.338,.436,.774,18,12,0.081, 1.34,0.164,-0.082%, 0.04%, 1.15, 0.8,13,0,HBP,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Ryan McKenna PR,0,0,0,0,0,0,0,.255,.311,.351,.662,,,,,,,,,,,,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Robinson Chirinos C,0,0,0,0,0,0,0,.157,.252,.257,.509,,,,,,,,,,1,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Trey Mancini DH,4,0,2,0,1,1,5,.268,.345,.401,.746,16,10,0.133, 1.65,0.228,-0.095%, 0.07%, 1.41, 1.2,,,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Anthony Santander RF,4,1,1,0,0,1,5,.243,.328,.431,.759,16,11,-0.176, 2.37,0.052,-0.228%,-0.09%, 2.03, -0.6,0,0,HBP,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Ryan Mountcastle 1B,5,0,1,0,0,1,5,.260,.300,.449,.749,13,11,-0.176, 2.10,0.058,-0.235%,-0.09%, 1.80, -0.5,5,1,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Austin Hays LF,4,0,0,0,0,1,5,.263,.320,.439,.759,15,9,-0.144, 1.78,0.037,-0.181%,-0.07%, 1.52, -1.3,3,0,HBP,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Rougned Odor 2B,5,0,2,1,0,1,5,.201,.262,.383,.646,15,13,-0.051, 1.61,0.100,-0.151%,-0.03%, 1.38, 0.2,2,4,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Ramon Urias 3B,4,0,0,0,0,1,4,.264,.306,.460,.765,16,11,-0.226, 2.01,0.000,-0.226%,-0.12%, 1.72, -1.3,1,1,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Jorge Mateo SS,4,1,2,1,0,2,4,.215,.264,.370,.635,18,12,0.455, 1.95,0.540,-0.086%, 0.23%, 1.67, 0.6,0,1,HR,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Tyler Wells P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Dillon Tate P,,,,,,,,,,,,,,,,,,,,,1,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Nick Vespi P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Félix Bautista P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Keegan Akin P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Jorge Lopez P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
