,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Cedric Mullins CF,5,0,0,0,0,0,5,.256,.317,.383,.700,10,9,-0.171, 1.33,0.000,-0.171%,-0.09%, 1.11, -1.8,0,1,,72° F, Wind 0mph, In Dome.
Trey Mancini DH,4,0,0,0,1,3,5,.277,.352,.417,.769,23,15,-0.054, 0.74,0.026,-0.081%,-0.03%, 0.62, -0.6,,,,72° F, Wind 0mph, In Dome.
Anthony Santander LF,3,1,1,0,1,1,5,.239,.328,.420,.748,18,9,0.015, 0.55,0.055,-0.040%, 0.01%, 0.45, 0.5,2,0,"2B,HBP",72° F, Wind 0mph, In Dome.
Ryan Mountcastle 1B,4,1,1,0,0,0,4,.273,.310,.476,.786,16,12,-0.060, 0.82,0.026,-0.086%,-0.03%, 0.68, -0.4,5,0,GDP,72° F, Wind 0mph, In Dome.
Austin Hays RF,4,2,2,1,0,1,4,.270,.325,.454,.779,15,11,0.044, 0.84,0.091,-0.047%, 0.02%, 0.70, 0.6,0,0,HR,72° F, Wind 0mph, In Dome.
Adley Rutschman C,4,0,2,1,0,0,4,.222,.302,.420,.722,13,8,0.095, 1.00,0.136,-0.041%, 0.05%, 0.83, 1.4,15,0,2B,72° F, Wind 0mph, In Dome.
Ramon Urias 3B,4,0,1,1,0,1,4,.255,.301,.439,.740,9,6,-0.050, 1.15,0.041,-0.090%,-0.03%, 0.96, -0.0,2,1,,72° F, Wind 0mph, In Dome.
Rougned Odor 2B,4,1,2,2,0,0,4,.202,.263,.393,.656,11,7,0.077, 1.25,0.153,-0.075%, 0.04%, 1.04, 1.9,0,2,HR,72° F, Wind 0mph, In Dome.
Jorge Mateo SS,4,0,1,0,0,1,4,.205,.258,.353,.610,10,8,-0.079, 1.25,0.036,-0.116%,-0.04%, 1.04, -0.8,0,2,2B,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Jordan Lyles P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Bryan Baker P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Keegan Akin P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Dillon Tate P,,,,,,,,,,,,,,,,,,,,,0,1,,72° F, Wind 0mph, In Dome.
   Joey Krehbiel P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
