AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,2,0,0,0,5,.261,.320,.394,.714,15,9,0.038, 0.75,0.095,-0.057%, 0.01%, 0.50, 0.7,1,0,"2·SB,HBP",77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
3,0,0,0,2,0,5,.281,.358,.417,.775,21,10,-0.041, 0.83,0.026,-0.067%,-0.02%, 0.55, -0.4,,,IW,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
4,0,1,1,0,0,4,.242,.328,.423,.751,14,9,0.009, 1.02,0.089,-0.081%, 0.00%, 0.68, -0.0,2,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
0,0,0,0,1,0,1,.244,.303,.344,.647,5,1,0.008, 0.59,0.008,0.000%, 0.00%, 0.39, 0.3,1,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
5,0,0,0,0,3,5,.272,.309,.483,.792,20,17,-0.123, 0.89,0.000,-0.123%,-0.05%, 0.60, -1.8,9,1,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
4,0,0,0,0,1,4,.258,.315,.435,.750,15,12,-0.029, 0.90,0.038,-0.067%,-0.01%, 0.60, -0.3,0,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
3,1,0,0,1,1,4,.216,.305,.399,.704,18,9,-0.030, 0.85,0.032,-0.063%,-0.01%, 0.57, -0.4,6,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
4,1,3,2,0,0,4,.249,.296,.406,.702,11,8,0.265, 0.87,0.272,-0.007%, 0.11%, 0.58, 2.1,3,3,HR,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
3,0,0,0,1,0,4,.201,.262,.389,.652,20,13,-0.125, 0.97,0.011,-0.136%,-0.05%, 0.65, -0.9,3,3,GDP,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
4,1,2,1,0,0,4,.202,.254,.346,.600,9,7,0.097, 0.74,0.147,-0.050%, 0.04%, 0.49, 0.2,1,3,"HR,SB,GDP",77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,1,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
