,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Daniel Lynch, 3.2,6,3,3,2,5,0,5.05,19,76,44,25,9,10,8,4,3,0,40,,,-0.195, 1.26,-0.01%, 0.06, -1.3,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Jose Cuas, 1.1,1,0,0,1,1,0,2.84,6,27,17,7,2,8,2,2,2,0,,2,0,0.120, 1.52, 0.00%, 0.07, 1.0,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Wyatt Mills, 1 ,0,0,0,0,2,0,3.77,3,11,8,1,2,5,0,1,0,0,,0,0,0.077, 1.00, 0.00%, 0.05, 0.5,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Taylor Clarke, 1 ,1,0,0,0,1,0,3.79,3,16,9,4,2,3,0,2,1,0,,0,0,0.090, 1.38, 0.00%, 0.06, 0.5,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Josh Staumont, 1 ,0,0,0,1,0,0,3.67,3,16,7,4,1,2,0,2,1,0,,0,0,0.110, 1.86, 0.00%, 0.09, 0.5,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Scott Barlow, 1 ,0,0,0,0,1,0,2.06,3,11,7,3,2,2,0,2,0,0,,0,0,0.144, 1.86, 0.00%, 0.09, 0.5,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
"Joel Payamps, BS (2), L (2-3)", 0 ,4,3,2,0,0,0,3.41,4,13,9,7,0,2,3,1,1,0,,0,0,-0.792, 3.49,-0.02%, 0.16, -3.4,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
