,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Brad Keller, L (5-11)", 6 ,6,3,3,3,5,0,4.18,26,90,56,35,7,14,9,9,3,0,50,,,-0.007, 1.03, 0.00%, 0.02, 0.4,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Dylan Coleman, 1 ,2,1,0,0,0,0,2.90,4,17,11,8,1,2,2,2,1,0,,1,1,-0.045, 0.42,-0.00%, 0.01, -0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Josh Staumont, 1 ,0,0,0,0,0,0,3.90,3,9,6,6,0,0,2,1,1,0,,0,0,0.009, 0.12, 0.00%, 0.00, 0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Jose Cuas, 1 ,1,0,0,0,3,0,2.57,4,20,14,7,3,4,1,0,0,0,,0,0,0.004, 0.09, 0.00%, 0.00, 0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
