,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Kyle Schwarber LF,3,0,0,1,0,1,4,.201,.306,.494,.800,20,12,-0.042, 0.55,0.000,-0.042%,-0.02%, 0.52, -0.9,0,0,SF,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Rhys Hoskins 1B,3,1,1,0,1,2,4,.242,.333,.465,.799,21,11,0.002, 0.56,0.030,-0.028%, 0.00%, 0.53, 0.1,10,0,SB,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
J.T. Realmuto C,4,0,2,2,0,0,4,.257,.330,.406,.736,8,6,0.042, 0.65,0.070,-0.028%, 0.02%, 0.60, 1.0,6,1,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Darick Hall DH,4,0,2,0,0,0,4,.260,.288,.532,.820,12,10,0.049, 0.64,0.079,-0.030%, 0.03%, 0.59, 0.3,,,GDP,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Nick Castellanos RF,4,1,1,0,0,1,4,.246,.291,.365,.656,9,9,-0.143, 0.87,0.022,-0.165%,-0.08%, 0.82, -1.2,2,0,"2B,GDP",85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Bryson Stott 2B,3,1,1,0,1,0,4,.195,.267,.326,.593,16,10,0.097, 0.82,0.128,-0.031%, 0.06%, 0.77, 0.7,2,2,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Alec Bohm 3B,4,2,2,2,0,2,4,.293,.326,.403,.729,20,14,0.080, 0.48,0.092,-0.012%, 0.04%, 0.45, 1.1,2,2,2B,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Didi Gregorius SS,3,1,0,1,0,1,4,.218,.275,.321,.596,13,10,0.029, 0.67,0.056,-0.026%, 0.02%, 0.62, 0.1,1,4,SF,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Odubel Herrera CF,3,1,1,1,0,1,3,.242,.280,.388,.668,7,5,0.112, 0.72,0.131,-0.019%, 0.06%, 0.68, 1.7,3,0,2·SB,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
Kyle Gibson P,,,,,,,,,,,,,,,,,,,,,1,0,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
   Connor Brogdon P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
   Brad Hand P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
   Andrew Bellatti P,,,,,,,,,,,,,,,,,,,,,0,0,,85° F, Wind 2mph out to Centerfield, Cloudy, No Precipitation.
