,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Kyle Schwarber LF,5,1,1,1,0,2,5,.211,.320,.509,.829,25,16,-0.045, 0.36,0.001,-0.046%,-0.03%, 0.36, 0.3,0,0,HR,72° F, Wind 0mph, In Dome.
Rhys Hoskins 1B,4,1,1,1,0,1,4,.246,.338,.483,.821,19,14,0.039, 0.61,0.084,-0.045%, 0.02%, 0.62, 0.4,2,1,HR,72° F, Wind 0mph, In Dome.
   Johan Camargo PH-1B-2B,1,0,1,0,0,0,1,.236,.301,.321,.622,4,3,0.000, 0.00,0.000,0.000%,0%, 0.00, 0.1,0,0,,72° F, Wind 0mph, In Dome.
Nick Castellanos RF,3,1,1,0,1,1,4,.251,.298,.377,.675,14,8,0.017, 0.42,0.038,-0.021%, 0.01%, 0.42, 0.3,3,0,2B,72° F, Wind 0mph, In Dome.
   Odubel Herrera PH-RF,1,0,1,0,0,0,1,.244,.284,.395,.680,2,2,0.000, 0.00,0.000,0.000%,0%, 0.00, 0.2,1,0,,72° F, Wind 0mph, In Dome.
Darick Hall DH-1B,5,2,2,0,0,1,5,.262,.286,.541,.827,21,15,-0.028, 0.47,0.020,-0.047%,-0.02%, 0.48, -0.4,2,0,2B,72° F, Wind 0mph, In Dome.
J.T. Realmuto C,4,2,2,2,0,1,4,.251,.321,.396,.717,12,9,0.251, 0.62,0.275,-0.024%, 0.15%, 0.63, 2.3,9,0,"HR,2B",72° F, Wind 0mph, In Dome.
   Garrett Stubbs PH-C,1,0,0,0,0,1,1,.262,.328,.492,.820,6,3,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.2,1,0,,72° F, Wind 0mph, In Dome.
Bryson Stott 2B-SS,5,1,2,1,0,1,5,.188,.255,.307,.561,15,12,-0.030, 0.36,0.024,-0.054%,-0.02%, 0.36, -0.2,3,3,2·2B,72° F, Wind 0mph, In Dome.
Alec Bohm 3B,4,1,1,1,1,0,5,.273,.308,.383,.692,6,5,-0.029, 0.48,0.009,-0.038%,-0.02%, 0.48, 0.5,1,1,IW,72° F, Wind 0mph, In Dome.
Didi Gregorius SS,4,1,2,4,0,0,4,.240,.303,.357,.660,11,9,0.041, 0.76,0.083,-0.043%, 0.03%, 0.76, 3.1,0,1,HR,72° F, Wind 0mph, In Dome.
   JoJo Romero P,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
Matt Vierling CF,4,0,1,0,0,0,4,.231,.304,.338,.643,18,10,-0.041, 0.58,0.028,-0.069%,-0.03%, 0.59, -1.1,4,0,CS,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Ranger Suarez P,,,,,,,,,,,,,,,,,,,,,1,0,,72° F, Wind 0mph, In Dome.
   Andrew Bellatti P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Connor Brogdon P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Nick Nelson P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
