AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
4,0,0,0,0,2,4,.208,.317,.503,.820,13,10,-0.055, 0.55,0.000,-0.055%,-0.03%, 0.53, -1.0,2,0,,72° F, Wind 0mph, In Dome.
3,0,0,0,0,1,4,.244,.337,.479,.816,12,8,-0.025, 0.39,0.008,-0.034%,-0.01%, 0.38, -0.3,,,HBP,72° F, Wind 0mph, In Dome.
4,0,1,0,0,2,4,.251,.297,.376,.673,14,11,0.018, 0.52,0.043,-0.026%, 0.01%, 0.51, -0.2,3,0,,72° F, Wind 0mph, In Dome.
3,1,1,0,0,0,4,.252,.323,.399,.722,10,7,0.006, 0.78,0.050,-0.044%, 0.00%, 0.76, 0.2,11,0,"2B,HBP",72° F, Wind 0mph, In Dome.
4,1,2,1,0,0,4,.276,.311,.388,.698,10,6,0.177, 0.94,0.200,-0.023%, 0.10%, 0.90, 1.0,1,2,2B,72° F, Wind 0mph, In Dome.
4,1,1,1,0,2,4,.231,.303,.343,.646,19,16,0.090, 0.89,0.103,-0.013%, 0.05%, 0.86, 0.6,2,0,2B,72° F, Wind 0mph, In Dome.
4,0,0,0,0,0,4,.234,.297,.349,.645,20,16,-0.114, 0.70,0.000,-0.114%,-0.07%, 0.68, -1.6,1,3,,72° F, Wind 0mph, In Dome.
4,1,1,2,0,1,4,.225,.279,.500,.779,14,10,0.078, 0.80,0.144,-0.066%, 0.04%, 0.77, 0.9,1,2,HR,72° F, Wind 0mph, In Dome.
4,0,2,0,0,1,4,.243,.306,.326,.632,11,9,-0.023, 0.35,0.008,-0.031%,-0.01%, 0.34, -0.1,6,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
