,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Kyle Schwarber LF,4,0,0,0,0,4,4,.211,.322,.505,.827,16,13,-0.132, 1.27,0.000,-0.132%,-0.08%, 1.24, -1.0,2,0,,72° F, Wind 0mph, In Dome.
Rhys Hoskins 1B,3,1,0,0,1,1,4,.246,.339,.477,.816,16,10,-0.003, 0.83,0.049,-0.052%,-0.00%, 0.82, -0.3,7,0,,72° F, Wind 0mph, In Dome.
Nick Castellanos RF,4,0,1,0,0,3,4,.251,.296,.375,.670,13,11,0.034, 0.93,0.069,-0.036%, 0.02%, 0.91, 0.0,1,0,,72° F, Wind 0mph, In Dome.
   Yairo Munoz 3B,0,0,0,0,0,0,0,.222,.282,.444,.726,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
Darick Hall DH,3,1,1,1,1,1,4,.250,.276,.536,.812,18,11,0.048, 1.58,0.104,-0.056%, 0.03%, 1.56, 0.1,,,2B,72° F, Wind 0mph, In Dome.
   Garrett Stubbs PR-DH-DH,0,0,0,0,0,0,0,.267,.333,.500,.833,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
J.T. Realmuto C,4,0,3,1,0,0,4,.247,.318,.380,.698,19,15,0.248, 1.15,0.265,-0.016%, 0.15%, 1.13, 1.5,11,1,"2B,SB",72° F, Wind 0mph, In Dome.
Bryson Stott 2B,4,0,0,0,0,0,4,.183,.251,.294,.546,11,8,-0.166, 1.23,0.000,-0.166%,-0.10%, 1.21, -1.6,1,1,GDP,72° F, Wind 0mph, In Dome.
Matt Vierling 3B-RF,3,0,0,0,0,2,3,.230,.306,.341,.647,11,8,-0.086, 1.13,0.000,-0.086%,-0.05%, 1.10, -0.7,0,2,,72° F, Wind 0mph, In Dome.
Didi Gregorius SS,2,0,0,0,1,1,3,.234,.299,.335,.634,14,6,0.000, 0.91,0.044,-0.044%,0%, 0.90, 0.1,0,3,SB,72° F, Wind 0mph, In Dome.
Mickey Moniak CF,3,0,0,0,0,2,3,.130,.184,.152,.336,15,11,-0.065, 0.80,0.000,-0.065%,-0.04%, 0.78, -0.6,5,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Kyle Gibson P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Jose Alvarado P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Brad Hand P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Seranthony Dominguez P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
