,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/19/1987,DET,IND @ BOS,L,240,98,40,94,42.6,1,8,12.5,17,23,73.9,20,24,44,21,6,4,17,34,-10
01/18/1987,MIL,IND @ BOS,L,240,91,33,89,37.1,6,12,50.0,19,22,86.4,16,27,43,23,7,5,22,18,-9
01/15/1987,MIL,DEN @ SEA,W,240,130,48,89,53.9,7,17,41.2,27,32,84.4,15,42,57,34,9,9,15,21,39
01/14/1987,PHL,DEN @ SEA,L,240,93,33,80,41.3,4,10,40.0,23,31,74.2,13,29,42,19,16,3,21,23,-3
01/12/1987,LAC,DEN @ SEA,W,240,125,49,83,59.0,2,4,50.0,25,42,59.5,14,35,49,30,9,5,13,37,10
01/10/1987,CLE,UTH @ SEA,W,240,129,43,94,45.7,2,5,40.0,41,57,71.9,27,31,58,27,13,6,14,22,25
01/07/1987,PHL,DEN @ LAL,L,240,102,43,78,55.1,4,9,44.4,12,20,60.0,16,17,33,22,9,9,20,20,-7
01/06/1987,NYK,DEN @ LAL,L,240,86,32,91,35.2,1,6,16.7,21,30,70.0,26,24,50,17,11,6,29,28,-32
01/03/1987,NYK,DEN @ LAL,W,240,114,45,104,43.3,3,7,42.9,21,28,75.0,31,33,64,28,9,2,21,29,22
01/02/1987,WAS,PHL @ UTH,W,240,118,44,103,42.7,2,5,40.0,28,32,87.5,21,31,52,25,10,9,12,26,17
12/29/1986,CLE,PHL @ UTH,L,240,106,41,95,43.2,4,10,40.0,20,26,76.9,16,26,42,22,4,5,9,29,-1
12/27/1986,GOS,POR @ SEA,W,240,119,48,96,50.0,1,6,16.7,22,31,71.0,24,31,55,33,7,8,16,24,11
12/20/1986,SAN,DET @ IND,W,240,111,44,92,47.8,2,6,33.3,21,29,72.4,18,29,47,29,11,8,13,20,15
12/18/1986,MIL,POR @ LAL,L,240,95,38,80,47.5,1,6,16.7,18,25,72.0,13,18,31,20,8,6,14,32,-9
12/16/1986,DET,POR @ LAL,L,240,100,37,93,39.8,5,10,50.0,21,28,75.0,19,33,52,20,6,8,12,30,-11
12/13/1986,NYK,NJN @ IND,W,240,122,52,93,55.9,3,5,60.0,15,23,65.2,22,28,50,29,8,2,19,27,12
12/12/1986,SAC,NJN @ IND,W,240,130,44,84,52.4,2,4,50.0,40,50,80.0,20,30,50,26,10,3,13,27,10
12/10/1986,CHI,LAL @ MIL,W,240,123,44,80,55.0,2,6,33.3,33,41,80.5,15,23,38,24,13,7,11,26,28
12/09/1986,CLE,LAL @ MIL,W,240,122,52,89,58.4,1,4,25.0,17,27,63.0,10,40,50,35,7,7,17,25,24
12/05/1986,IND,CHI @ PHX,L,240,113,39,94,41.5,4,8,50.0,31,39,79.5,22,29,51,21,9,1,16,29,-6
12/04/1986,HOU,CHI @ PHX,W,240,109,45,94,47.9,0,4,0.0,19,23,82.6,13,35,48,29,11,5,11,20,16
12/02/1986,DEN,CHI @ PHX,W,240,116,46,86,53.5,0,5,0.0,24,28,85.7,11,37,48,33,5,3,14,31,16
11/30/1986,SAC,CHI @ PHX,W,240,113,40,78,51.3,4,7,57.1,29,35,82.9,10,23,33,24,8,6,15,29,4
11/28/1986,UTH,LAC @ LAL,W,240,97,34,80,42.5,1,3,33.3,28,39,71.8,20,43,63,22,5,4,20,29,9
11/26/1986,PHX,LAC @ LAL,L,240,106,40,88,45.5,2,9,22.2,24,38,63.2,21,23,44,17,3,7,18,31,-14
11/25/1986,LAL,ATL @ LAL,W,240,113,37,80,46.3,2,4,50.0,37,44,84.1,18,34,52,16,7,4,22,28,6
11/22/1986,BOS,ATL @ LAL,W,240,97,34,84,40.5,1,5,20.0,28,39,71.8,19,32,51,24,16,1,14,24,1
11/20/1986,CLE,NYK @ CHI,W,240,108,46,101,45.5,2,8,25.0,14,19,73.7,20,36,56,29,10,10,16,17,19
11/19/1986,BOS,NYK @ CHI,L,240,107,41,81,50.6,1,6,16.7,24,28,85.7,6,26,32,25,7,4,14,28,-4
11/15/1986,NJN,SEA @ GOS,W,240,109,36,70,51.4,0,3,0.0,37,47,78.7,9,28,37,21,11,11,21,27,19
11/14/1986,DET,SEA @ GOS,W,240,105,36,84,42.9,2,3,66.7,31,40,77.5,17,32,49,18,6,8,11,30,5
11/11/1986,CHI,PHX @ NYK,L,240,110,45,82,54.9,0,0,-,20,28,71.4,7,22,29,32,10,4,16,21,-2
11/08/1986,WAS,PHX @ NYK,W,240,110,44,97,45.4,1,9,11.1,21,28,75.0,24,40,64,23,5,6,9,27,19
11/07/1986,PHX,PHX @ NYK,W,240,106,42,77,54.5,3,7,42.9,19,35,54.3,12,44,56,26,12,8,24,21,20
11/04/1986,MIL,DAL @ POR,W,240,107,42,89,47.2,0,4,0.0,23,29,79.3,21,34,55,25,7,6,15,28,9
11/02/1986,PHL,DAL @ POR,W,240,122,49,94,52.1,1,4,25.0,23,31,74.2,17,22,39,32,12,2,14,27,9
