,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
 Dwayne Harris ,37.2,4,149,0,3,1,72,0,0
 Keelan Cole ,36.7,3,110,0,2,1,59,0,0
 Brandon Wilson ,31.2,20,625,1,16,4,92,0,1
 Ashton Dulin ,30,3,90,0,3,1,46,0,0
 Vyncint Smith ,29.9,10,299,0,8,1,78,0,1
 Ito Smith ,29.5,2,59,0,2,0,33,0,0
 Cordarrelle Patterson ,29.5,28,825,1,22,2,102,0,0
 Diontae Spencer ,29.1,15,436,0,13,3,60,0,1
 Nsimba Webster ,28.5,2,57,0,2,0,30,0,0
 Anthony Miller ,28,1,28,0,1,0,28,0,0
 Da'Mari Scott ,27.5,4,110,0,3,0,35,0,0
 Darwin Thompson ,27,1,27,0,1,0,27,0,0
 Deonte Harty ,26.8,24,644,0,17,4,51,0,0
 Jamal Agnew ,26.7,17,454,1,11,1,100,0,0
 Andre Roberts ,26.6,25,664,0,17,3,66,0,0
 Zach Pascal ,26.3,10,263,0,7,1,47,0,0
 Mecole Hardman ,26.1,27,704,1,20,1,104,0,2
 Brandon Zylstra ,26,1,26,0,1,0,26,0,0
 D'Ernest Johnson ,25.8,5,129,0,3,1,47,0,0
 Corey Ballentine ,25.6,10,256,0,7,1,52,0,0
 Steven Sims ,25.6,32,819,1,20,3,91,0,1
 Jakeem Grant ,25.1,23,578,1,15,2,101,0,0
 Ameer Abdullah ,25,13,325,0,10,0,38,0,1
 Parris Campbell ,25,7,175,0,6,0,36,0,1
 Dontrell Hilliard ,24.8,17,421,0,12,1,74,0,0
