,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
 Nyheim Hines ,31.2,9,281,2,4,3,84,4,0
 Diontae Johnson ,12.4,20,248,1,1,1,85,7,1
 Jabrill Peppers ,12.2,4,49,0,1,1,40,4,0
 T.J. Jones ,12,8,96,0,1,1,60,2,3
 Preston Williams ,11.5,10,115,0,1,0,21,5,0
 Braxton Berrios ,11.4,21,240,0,3,0,26,32,1
 Kalif Raymond ,11.2,4,45,0,0,0,14,7,0
 LeShaun Sims ,11,1,11,0,0,0,11,0,0
 Jarvis Landry ,10.6,5,53,0,0,0,18,8,0
 Chester Rogers ,9.8,14,137,0,1,0,21,17,1
 DeAndre Carter ,9.7,22,214,0,1,0,23,18,2
 Golden Tate ,9.7,10,97,0,0,0,17,7,0
 T.J. Logan ,9.5,13,124,0,1,1,40,2,0
 Cyrus Jones ,9.4,12,113,0,1,0,25,10,1
 Deonte Harty ,9.4,36,338,1,4,1,53,11,3
 Mecole Hardman ,9.3,18,167,0,2,0,36,6,0
 Jamal Agnew ,9.2,19,175,1,3,1,64,13,1
 Tarik Cohen ,9.2,33,302,0,3,1,71,19,2
 Gunner Olszewski ,9,20,179,0,2,0,22,16,1
 Adoree' Jackson ,8.7,3,26,0,0,0,17,1,1
 Randall Cobb ,8.5,4,34,0,0,0,14,9,0
 Ray-Ray McCloud ,8.2,10,82,0,1,0,39,7,3
 D.J. Moore ,8.2,5,41,0,0,0,16,4,0
 Marvin Hall ,8,2,16,0,0,0,14,1,0
 Richie James ,8,33,264,0,1,0,32,11,0
