Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
31.2,9,281,2,4,3,84,4,0
12.4,20,248,1,1,1,85,7,1
12.2,4,49,0,1,1,40,4,0
12,8,96,0,1,1,60,2,3
11.5,10,115,0,1,0,21,5,0
11.4,21,240,0,3,0,26,32,1
11.2,4,45,0,0,0,14,7,0
11,1,11,0,0,0,11,0,0
10.6,5,53,0,0,0,18,8,0
9.8,14,137,0,1,0,21,17,1
9.7,22,214,0,1,0,23,18,2
9.7,10,97,0,0,0,17,7,0
9.5,13,124,0,1,1,40,2,0
9.4,12,113,0,1,0,25,10,1
9.4,36,338,1,4,1,53,11,3
9.3,18,167,0,2,0,36,6,0
9.2,19,175,1,3,1,64,13,1
9.2,33,302,0,3,1,71,19,2
9,20,179,0,2,0,22,16,1
8.7,3,26,0,0,0,17,1,1
8.5,4,34,0,0,0,14,9,0
8.2,10,82,0,1,0,39,7,3
8.2,5,41,0,0,0,16,4,0
8,2,16,0,0,0,14,1,0
8,33,264,0,1,0,32,11,0
