,INT,INT TD,INT Yds,Lng
 Stephon Gilmore ,6,2,126,64
 Anthony Harris ,6,1,42,20
 Tre'Davious White ,6,0,57,49
 Kevin Byard ,5,0,79,28
 Minkah Fitzpatrick ,5,1,130,96
 Joe Haden ,5,0,20,16
 J.C. Jackson ,5,0,39,19
 Janoris Jenkins ,5,0,84,62
 Kevin King ,5,0,54,39
 Darius Leonard ,5,1,92,80
 Devin McCourty ,5,0,49,24
 Marcus Peters ,5,3,210,89
 Quinton Dunbar ,4,0,6,6
 Tyrann Mathieu ,4,0,70,35
 Darius Phillips ,4,0,82,28
 Logan Ryan ,4,0,16,16
 Joe Schobert ,4,0,24,20
 Justin Simmons ,4,0,30,17
 Desmond Trufant ,4,0,26,16
 Marcus Williams ,4,1,56,55
 Jessie Bates ,3,0,33,20
 Tre Boston ,3,0,20,20
 James Bradberry ,3,0,0,0
 Sean Murphy-Bunting ,3,1,88,70
 Jamie Collins ,3,1,85,69
