,FF,FR,FR TD
 Chandler Jones ,8,3,0
 T.J. Watt ,8,4,0
 Shaquil Barrett ,6,0,0
 Ryan Anderson ,5,2,0
 Khalil Mack ,5,1,0
 Jadeveon Clowney ,4,2,1
 Maxx Crosby ,4,0,0
 Bud Dupree ,4,2,0
 Malcolm Jenkins ,4,1,0
 Matt Judon ,4,0,0
 Whitney Mercilus ,4,1,0
 Yannick Ngakoue ,4,0,0
 Logan Ryan ,4,0,0
 Terrell Suggs ,4,1,0
 K'Waun Williams ,4,0,0
 Vernon Butler ,3,0,0
 De'Vondre Campbell ,3,1,0
 Frank Clark ,3,1,0
 Justin Coleman ,3,1,0
 Jamie Collins ,3,1,0
 Fletcher Cox ,3,1,0
 Marcus Davenport ,3,0,0
 Lavonte David ,3,1,0
 Jarrad Davis ,3,1,0
 Rasheem Green ,3,1,0
