,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
 Michael Thomas ,149,1725,9,17,3,49,91,61.1,1,585,185
 Christian McCaffrey ,116,1005,4,7,0,28,58,50,0,1010,142
 Keenan Allen ,104,1199,6,15,1,45,63,60.6,0,368,149
 DeAndre Hopkins ,104,1165,7,16,1,43,68,65.4,0,393,150
 Julian Edelman ,100,1117,6,13,1,44,54,54,3,337,153
 Julio Jones ,99,1394,6,21,3,54,77,77.8,1,360,157
 Allen Robinson ,98,1147,7,15,1,49,63,64.3,0,279,154
 Travis Kelce ,97,1229,5,13,3,47,65,67,1,430,136
 Cooper Kupp ,94,1161,10,21,4,66,51,54.3,3,547,134
 Austin Ekeler ,92,993,8,9,3,84,42,45.6,2,944,108
 Tyler Boyd ,90,1046,5,12,3,47,51,56.7,2,358,148
 Darren Waller ,90,1145,3,14,2,75,53,58.9,1,601,117
 Robert Woods ,90,1134,2,14,1,48,54,60,0,584,139
 Zach Ertz ,88,916,6,12,0,30,50,56.8,1,276,135
 D.J. Moore ,87,1175,4,13,4,52,63,72.4,2,403,135
 Chris Godwin ,86,1333,9,25,3,71,63,73.3,0,591,121
 George Kittle ,85,1053,5,16,2,61,53,62.4,1,622,107
 Davante Adams ,83,997,5,12,2,58,54,65.1,2,393,127
 Jarvis Landry ,83,1174,6,20,2,65,55,66.3,0,440,138
 Tyler Lockett ,82,1057,8,15,3,44,53,64.6,1,314,110
 Alvin Kamara ,81,533,1,2,1,41,28,34.6,1,568,97
 Tarik Cohen ,79,456,3,2,0,31,18,22.8,1,437,104
 Amari Cooper ,79,1189,8,17,6,53,54,68.4,0,245,119
 Jamison Crowder ,78,833,6,11,1,41,41,52.6,0,357,122
 Leonard Fournette ,76,522,0,3,0,27,23,30.3,1,576,100
