,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Brandon Ingram,38:40,6.0,17.0,35.3,1.0,2.0,50.0,5.0,5.0,100.0,1.0,4.0,5.0,4.0,1.0,0.0,5.0,3.0,18.0,-6.0,04/17/2022,30.25
Jaxson Hayes,11:29,1.0,2.0,50.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-11.0,04/17/2022,5.25
Jonas Valanciunas,30:36,7.0,21.0,33.3,0.0,1.0,0.0,4.0,6.0,66.7,13.0,12.0,25.0,3.0,0.0,0.0,1.0,2.0,18.0,-11.0,04/17/2022,53.25
Herbert Jones,30:34,2.0,8.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,5.0,-7.0,04/17/2022,10.75
CJ McCollum,43:09,9.0,25.0,36.0,3.0,8.0,37.5,4.0,6.0,66.7,3.0,5.0,8.0,6.0,1.0,1.0,3.0,2.0,25.0,-10.0,04/17/2022,48.0
Larry Nance Jr.,19:32,5.0,8.0,62.5,1.0,2.0,50.0,3.0,4.0,75.0,3.0,3.0,6.0,3.0,1.0,0.0,1.0,2.0,14.0,-3.0,04/17/2022,28.0
Trey Murphy III,25:54,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,6.0,04/17/2022,15.0
Devonte' Graham,10:21,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-3.0,04/17/2022,2.25
Naji Marshall,15:20,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,-1.0,04/17/2022,8.25
Jose Alvarado,14:28,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,-9.0,04/17/2022,6.75
