,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Brandon Ingram,36:28,11.0,23.0,47.8,1.0,5.0,20.0,7.0,10.0,70.0,1.0,3.0,4.0,5.0,0.0,0.0,1.0,2.0,30.0,18.0,04/24/2022,42.5
Jaxson Hayes,13:24,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,04/24/2022,4.0
Jonas Valanciunas,32:38,9.0,15.0,60.0,1.0,1.0,100.0,7.0,11.0,63.6,5.0,10.0,15.0,4.0,0.0,0.0,1.0,2.0,26.0,19.0,04/24/2022,50.75
Herbert Jones,35:04,3.0,7.0,42.9,0.0,1.0,0.0,7.0,8.0,87.5,1.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,13.0,7.0,04/24/2022,30.0
CJ McCollum,36:28,8.0,21.0,38.1,2.0,9.0,22.2,0.0,0.0,0.0,4.0,5.0,9.0,2.0,1.0,0.0,2.0,1.0,18.0,4.0,04/24/2022,34.25
Larry Nance Jr.,25:08,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,3.0,1.0,0.0,0.0,2.0,6.0,14.0,04/24/2022,21.25
Trey Murphy III,15:53,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,04/24/2022,7.25
Devonte' Graham,12:58,2.0,4.0,50.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,04/24/2022,12.25
Naji Marshall,10:21,1.0,1.0,100.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,-6.0,04/24/2022,9.0
Jose Alvarado,17:48,1.0,4.0,25.0,0.0,3.0,0.0,3.0,4.0,75.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,5.0,1.0,04/24/2022,12.0
Willy Hernangomez,1:55,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,04/24/2022,4.5
Garrett Temple,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,04/24/2022,1.25
