,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Trey Murphy III,26:38,10.0,15.0,66.7,7.0,10.0,70.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,0.0,0.0,0.0,4.0,27.0,18.0,10/09/2022,San Antonio Spurs,45.0
Zion Williamson,24:03,3.0,7.0,42.9,1.0,1.0,100.0,1.0,2.0,50.0,0.0,9.0,9.0,5.0,1.0,1.0,4.0,3.0,8.0,25.0,10/09/2022,San Antonio Spurs,29.25
Jonas Valanciunas,22:49,4.0,9.0,44.4,2.0,5.0,40.0,4.0,4.0,100.0,1.0,4.0,5.0,2.0,0.0,0.0,3.0,2.0,14.0,27.0,10/09/2022,San Antonio Spurs,22.75
Herbert Jones,23:51,1.0,5.0,20.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,26.0,10/09/2022,San Antonio Spurs,16.0
Devonte' Graham,19:55,4.0,8.0,50.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,11.0,27.0,10/09/2022,San Antonio Spurs,23.5
Willy Hernangomez,13:03,5.0,8.0,62.5,0.0,0.0,0.0,1.0,1.0,100.0,2.0,9.0,11.0,1.0,0.0,0.0,1.0,0.0,11.0,1.0,10/09/2022,San Antonio Spurs,25.75
Jose Alvarado,22:46,2.0,8.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,10/09/2022,San Antonio Spurs,20.0
Naji Marshall,20:37,5.0,12.0,41.7,1.0,6.0,16.7,4.0,5.0,80.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,15.0,1.0,10/09/2022,San Antonio Spurs,22.5
Larry Nance Jr.,9:06,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,-5.0,10/09/2022,San Antonio Spurs,11.25
Dyson Daniels,0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,10/09/2022,San Antonio Spurs,0.0
Garrett Temple,11:53,1.0,5.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,10/09/2022,San Antonio Spurs,4.0
Daeqwon Plowden,15:03,1.0,6.0,16.7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,-7.0,10/09/2022,San Antonio Spurs,8.25
Dereon Seabron,7:50,2.0,4.0,50.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,8.0,-13.0,10/09/2022,San Antonio Spurs,12.75
John Butler Jr.,7:50,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-13.0,10/09/2022,San Antonio Spurs,8.75
Zylan Cheatham,7:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-13.0,10/09/2022,San Antonio Spurs,2.5
John Petty Jr.,6:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-13.0,10/09/2022,San Antonio Spurs,3.5
