,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Brandon Ingram,40:32,7.0,19.0,36.8,1.0,5.0,20.0,7.0,11.0,63.6,0.0,5.0,5.0,5.0,1.0,0.0,5.0,1.0,22.0,-16.0,04/26/2022,35.75
Jaxson Hayes,15:32,3.0,6.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,-12.0,04/26/2022,11.25
Jonas Valanciunas,31:52,7.0,11.0,63.6,0.0,1.0,0.0,3.0,3.0,100.0,5.0,9.0,14.0,3.0,1.0,0.0,1.0,3.0,17.0,-8.0,04/26/2022,40.5
Herbert Jones,40:21,1.0,5.0,20.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,6.0,7.0,0.0,2.0,2.0,3.0,3.0,4.0,-11.0,04/26/2022,19.75
CJ McCollum,40:13,7.0,22.0,31.8,1.0,8.0,12.5,6.0,7.0,85.7,1.0,7.0,8.0,5.0,0.0,2.0,2.0,4.0,21.0,-7.0,04/26/2022,42.0
Larry Nance Jr.,19:36,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,-10.0,04/26/2022,11.5
Trey Murphy III,13:12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,04/26/2022,5.25
Devonte' Graham,11:40,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,-7.0,04/26/2022,3.5
Naji Marshall,6:55,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,04/26/2022,6.0
Jose Alvarado,20:07,3.0,8.0,37.5,2.0,6.0,33.3,4.0,4.0,100.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,12.0,-6.0,04/26/2022,18.25
