AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
3,0,0,1,0,0,4,.268,.321,.382,.703,10,7,-0.093, 1.31,0.000,-0.093%,-0.03%, 0.77, -0.7,4,2,SF,72° F, Wind 0mph, In Dome.
4,0,0,0,0,2,4,.271,.361,.378,.739,17,10,-0.181, 1.75,0.000,-0.181%,-0.06%, 1.02, -1.0,1,0,,72° F, Wind 0mph, In Dome.
3,0,0,0,0,2,3,.296,.363,.455,.818,12,8,-0.066, 0.87,0.000,-0.066%,-0.02%, 0.51, -0.5,6,0,,72° F, Wind 0mph, In Dome.
1,0,0,0,0,0,1,.228,.262,.322,.585,6,4,-0.065, 2.63,0.000,-0.065%,-0.02%, 1.53, -0.2,0,0,,72° F, Wind 0mph, In Dome.
4,0,1,0,0,0,4,.248,.294,.406,.700,16,12,-0.011, 1.06,0.052,-0.062%,-0.00%, 0.62, -0.4,,,,72° F, Wind 0mph, In Dome.
0,0,0,0,0,0,0,.275,.339,.373,.712,,,0.045, 3.49,0.045,0.000%, 0.02%, 2.04, 0.1,,,SB,72° F, Wind 0mph, In Dome.
4,0,0,0,0,2,4,.221,.270,.378,.648,14,9,-0.222, 2.04,0.000,-0.222%,-0.08%, 1.19, -0.8,3,0,,72° F, Wind 0mph, In Dome.
3,0,0,0,0,0,3,.205,.261,.390,.651,15,11,-0.078, 1.03,0.000,-0.078%,-0.03%, 0.60, -0.5,4,0,,72° F, Wind 0mph, In Dome.
3,1,2,0,0,0,3,.258,.349,.384,.733,9,6,0.056, 0.96,0.080,-0.024%, 0.02%, 0.56, 0.5,0,3,,72° F, Wind 0mph, In Dome.
3,1,0,0,0,0,3,.244,.294,.364,.658,16,9,-0.134, 1.76,0.011,-0.145%,-0.05%, 1.02, -0.8,3,2,SB,72° F, Wind 0mph, In Dome.
3,0,2,1,0,1,3,.293,.388,.534,.923,11,6,0.170, 1.59,0.216,-0.046%, 0.06%, 0.93, 1.6,6,1,2B,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,1,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
