,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Joey Wendle SS,3,0,1,0,0,1,4,.270,.326,.381,.707,14,8,0.030, 0.94,0.071,-0.041%, 0.01%, 0.46, 0.2,4,4,HBP,72° F, Wind 0mph, In Dome.
   Billy Hamilton PR-LF,1,2,0,0,0,0,1,.000,.000,.000,.000,1,1,-0.165, 5.62,0.000,-0.165%,-0.05%, 2.74, -0.9,0,0,,72° F, Wind 0mph, In Dome.
Jon Berti 2B,4,1,1,1,1,1,5,.271,.362,.375,.737,18,12,0.224, 2.17,0.315,-0.091%, 0.07%, 1.05, 0.7,1,5,,72° F, Wind 0mph, In Dome.
Jesus Aguilar 1B,4,1,1,1,0,1,5,.248,.296,.404,.700,19,11,0.713, 3.53,0.781,-0.068%, 0.21%, 1.72, 1.4,11,1,HBP,72° F, Wind 0mph, In Dome.
Avisail Garcia RF,4,0,2,2,0,1,4,.232,.266,.328,.594,12,8,0.510, 2.62,0.551,-0.042%, 0.15%, 1.27, 1.5,0,1,2B,72° F, Wind 0mph, In Dome.
   Tanner Scott P,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Zach Pop P,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Luke Williams PH,0,0,0,0,1,0,1,.275,.351,.373,.723,0,0,0.010, 5.23,0.010,0.000%, 0.00%, 2.55, 0.4,,,IW,72° F, Wind 0mph, In Dome.
Brian Anderson 3B,3,0,0,0,1,1,5,.253,.350,.377,.727,16,11,-0.141, 2.43,0.106,-0.247%,-0.04%, 1.18, -0.5,0,1,HBP,72° F, Wind 0mph, In Dome.
Jesus Sanchez CF,4,0,1,0,0,0,4,.205,.261,.388,.648,18,10,-0.111, 1.85,0.026,-0.137%,-0.03%, 0.90, -0.6,0,1,,72° F, Wind 0mph, In Dome.
Nick Fortes DH-C,4,0,0,0,0,2,4,.274,.366,.500,.866,13,10,-0.221, 1.83,0.000,-0.221%,-0.07%, 0.89, -1.8,3,0,GDP,72° F, Wind 0mph, In Dome.
Bryan De La Cruz LF-RF,3,0,0,0,1,3,4,.217,.270,.371,.641,23,15,-0.185, 2.13,0.021,-0.205%,-0.05%, 1.03, -0.6,3,0,,72° F, Wind 0mph, In Dome.
Jacob Stallings C,2,0,0,0,0,1,2,.183,.245,.233,.478,8,6,-0.069, 1.35,0.000,-0.069%,-0.02%, 0.66, -0.6,7,1,,72° F, Wind 0mph, In Dome.
   Miguel Rojas PH-SS,2,1,1,0,0,0,2,.246,.295,.365,.661,6,3,0.119, 2.52,0.165,-0.046%, 0.03%, 1.23, 0.6,1,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Pablo Lopez P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Dylan Floro P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Anthony Bass P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Steven Okert P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
