,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Joey Wendle 2B,4,0,1,0,0,1,4,.277,.333,.394,.727,11,8,-0.048, 0.62,0.012,-0.060%,-0.01%, 0.29, -0.4,2,2,,72° F, Wind 0mph, In Dome.
Brian Anderson 3B,4,0,1,0,0,2,4,.262,.358,.393,.750,19,14,-0.018, 0.53,0.024,-0.041%,-0.01%, 0.25, -0.1,0,2,,72° F, Wind 0mph, In Dome.
Garrett Cooper 1B,4,0,0,0,0,3,4,.283,.349,.434,.783,17,13,-0.069, 0.71,0.000,-0.069%,-0.02%, 0.34, -1.0,6,0,,72° F, Wind 0mph, In Dome.
Jesus Aguilar DH,1,0,0,0,0,1,1,.252,.299,.401,.700,3,3,-0.023, 0.92,0.000,-0.023%,-0.01%, 0.44, -0.2,,,,72° F, Wind 0mph, In Dome.
   Bryan De La Cruz PH-DH-DH,3,0,1,0,0,0,3,.209,.257,.353,.610,12,9,-0.015, 0.42,0.010,-0.025%,-0.00%, 0.20, -0.5,,,,72° F, Wind 0mph, In Dome.
Jorge Soler LF,3,0,0,0,0,2,3,.209,.299,.407,.706,12,8,-0.040, 0.50,0.000,-0.040%,-0.01%, 0.24, -0.5,0,1,,72° F, Wind 0mph, In Dome.
Avisail Garcia RF,3,0,0,0,0,1,3,.225,.262,.317,.579,9,7,-0.046, 0.60,0.000,-0.046%,-0.01%, 0.28, -0.6,4,0,,72° F, Wind 0mph, In Dome.
Jesus Sanchez CF,2,0,0,0,1,1,3,.201,.261,.381,.642,12,6,-0.021, 0.61,0.017,-0.038%,-0.01%, 0.29, -0.1,3,0,,72° F, Wind 0mph, In Dome.
Miguel Rojas SS,3,0,1,0,0,0,3,.240,.287,.353,.640,9,6,-0.009, 0.58,0.028,-0.037%,-0.00%, 0.28, -0.4,1,0,GDP,72° F, Wind 0mph, In Dome.
Nick Fortes C,3,0,0,0,0,0,3,.254,.338,.451,.788,12,8,-0.062, 0.83,0.000,-0.062%,-0.02%, 0.39, -0.8,11,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Trevor Rogers P,,,,,,,,,,,,,,,,,,,,,0,1,,72° F, Wind 0mph, In Dome.
   Dylan Floro P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Anthony Bass P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Steven Okert P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
