IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 2.2,6,6,6,2,5,2,4.76,16,70,40,21,9,10,0,8,5,0,25,,,-0.320, 0.72,-0.16%, 0.60, -4.7,72° F, Wind 0mph, In Dome.
 1.2,0,0,0,0,5,0,4.08,5,24,16,4,5,7,0,0,0,0,,0,0,0.021, 0.16, 0.01%, 0.14, 0.8,72° F, Wind 0mph, In Dome.
 1.2,3,1,1,0,2,1,2.36,8,29,25,15,2,8,3,3,3,0,,0,0,-0.043, 0.26,-0.02%, 0.22, -0.3,72° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,0,0,2.45,4,15,11,8,0,3,3,1,1,0,,0,0,0.012, 0.22, 0.01%, 0.18, 0.5,72° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,2,0,2.18,3,12,10,5,1,4,0,1,0,0,,0,0,0.013, 0.17, 0.01%, 0.14, 0.5,72° F, Wind 0mph, In Dome.
