,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Tyler Wells, L (7-5)", 5.2,6,3,3,2,6,0,3.38,25,92,62,32,15,15,5,12,7,0,49,,,0.005, 1.25, 0.00%, 1.08, 0.6,72° F, Wind 0mph, In Dome.
Cionel Pérez, 0.1,2,2,2,0,0,1,1.48,3,9,6,5,1,0,1,2,1,0,,1,1,-0.349, 1.07,-0.18%, 0.93, -2.7,72° F, Wind 0mph, In Dome.
Bryan Baker, 1 ,0,0,0,0,2,0,4.26,3,14,10,8,0,2,1,0,0,0,,0,0,0.012, 0.15, 0.01%, 0.13, 0.5,72° F, Wind 0mph, In Dome.
Félix Bautista, 1 ,0,0,0,0,0,0,1.72,3,10,6,5,0,1,2,1,1,0,,0,0,0.029, 0.39, 0.01%, 0.33, 0.5,72° F, Wind 0mph, In Dome.
