,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Tyler Wells, 4.1,6,4,4,0,5,2,3.90,18,68,47,31,7,9,3,10,4,0,40,,,-0.115, 0.73,-0.06%, 0.63, -1.0,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Dillon Tate, 1.1,1,0,0,0,3,0,2.28,5,28,19,12,3,4,1,1,1,0,,1,1,-0.005, 1.01,-0.00%, 0.87, 0.1,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Nick Vespi, 1.1,1,0,0,1,2,0,4.41,6,24,13,5,5,3,0,3,2,0,,0,0,0.073, 0.92, 0.04%, 0.79, 0.7,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Félix Bautista, 1 ,0,0,0,0,2,0,1.55,3,9,7,3,2,2,1,0,0,0,,0,0,0.056, 0.73, 0.03%, 0.62, 0.5,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Keegan Akin, 1 ,1,0,0,0,1,0,2.40,4,8,8,6,0,2,1,2,2,0,,0,0,0.042, 0.72, 0.02%, 0.61, 0.5,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Jorge Lopez, L (4-6)", 1 ,2,2,1,2,0,0,1.71,6,26,14,10,0,4,3,1,1,0,,0,0,-0.290, 3.08,-0.15%, 2.64, -0.8,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
