,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Bojan Bogdanovic,35:39,5.0,19.0,26.3,2.0,8.0,25.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,12.0,-7.0,01/05/2024,Golden State Warriors,27.25,OKC @ BKN
Isaiah Livers,21:49,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,-7.0,01/05/2024,Golden State Warriors,10.25,OKC @ BKN
Jalen Duren,32:46,6.0,6.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,8.0,12.0,2.0,0.0,2.0,1.0,2.0,13.0,-5.0,01/05/2024,Golden State Warriors,34.5,OKC @ BKN
Jaden Ivey,23:54,5.0,10.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,4.0,6.0,12.0,-1.0,01/05/2024,Golden State Warriors,22.5,OKC @ BKN
Cade Cunningham,35:29,13.0,22.0,59.1,1.0,7.0,14.3,3.0,3.0,100.0,0.0,5.0,5.0,3.0,0.0,1.0,2.0,2.0,30.0,-7.0,01/05/2024,Golden State Warriors,42.25,OKC @ BKN
Ausar Thompson,8:31,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,01/05/2024,Golden State Warriors,12.0,OKC @ BKN
Alec Burks,21:22,5.0,14.0,35.7,3.0,10.0,30.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,13.0,9.0,01/05/2024,Golden State Warriors,23.5,OKC @ BKN
Kevin Knox II,23:09,7.0,13.0,53.8,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,18.0,-6.0,01/05/2024,Golden State Warriors,31.75,OKC @ BKN
James Wiseman,15:14,1.0,5.0,20.0,0.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,01/05/2024,Golden State Warriors,11.75,OKC @ BKN
Killian Hayes,15:45,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,-4.0,01/05/2024,Golden State Warriors,12.75,OKC @ BKN
Marcus Sasser,6:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,01/05/2024,Golden State Warriors,3.0,OKC @ BKN
