,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Bojan Bogdanovic,42:34,13.0,26.0,50.0,8.0,15.0,53.3,2.0,2.0,100.0,1.0,6.0,7.0,5.0,1.0,0.0,1.0,6.0,36.0,-5.0,01/03/2024,Utah Jazz,57.75,OKC @ BKN
Isaiah Livers,36:29,4.0,7.0,57.1,1.0,4.0,25.0,1.0,1.0,100.0,3.0,1.0,4.0,0.0,2.0,0.0,1.0,4.0,10.0,-13.0,01/03/2024,Utah Jazz,19.0,OKC @ BKN
Jalen Duren,36:11,6.0,7.0,85.7,0.0,0.0,0.0,5.0,5.0,100.0,4.0,6.0,10.0,3.0,0.0,1.0,2.0,0.0,17.0,-14.0,01/03/2024,Utah Jazz,35.0,OKC @ BKN
Jaden Ivey,21:46,4.0,8.0,50.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,11.0,0.0,01/03/2024,Utah Jazz,15.25,OKC @ BKN
Cade Cunningham,39:36,12.0,21.0,57.1,3.0,7.0,42.9,4.0,5.0,80.0,0.0,5.0,5.0,13.0,1.0,0.0,6.0,5.0,31.0,-13.0,01/03/2024,Utah Jazz,57.25,OKC @ BKN
Kevin Knox II,12:50,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,6.0,01/03/2024,Utah Jazz,8.25,OKC @ BKN
James Wiseman,16:46,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,0.0,0.0,3.0,1.0,8.0,11.0,01/03/2024,Utah Jazz,17.75,OKC @ BKN
Alec Burks,34:14,9.0,17.0,52.9,5.0,9.0,55.6,4.0,5.0,80.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,27.0,-12.0,01/03/2024,Utah Jazz,35.0,OKC @ BKN
Ausar Thompson,11:07,1.0,4.0,25.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,01/03/2024,Utah Jazz,11.25,OKC @ BKN
Killian Hayes,13:27,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,1.0,0.0,2.0,2.0,4.0,01/03/2024,Utah Jazz,18.0,OKC @ BKN
