,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Bryce McGowens,21:22,1.0,3.0,33.3,0.0,2.0,0.0,2.0,3.0,66.7,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,01/02/2024,Sacramento Kings,9.5,DEN @ GSW
Miles Bridges,40:07,9.0,18.0,50.0,3.0,6.0,50.0,6.0,6.0,100.0,0.0,5.0,5.0,3.0,1.0,2.0,3.0,0.0,27.0,9.0,01/02/2024,Sacramento Kings,43.75,DEN @ GSW
Nick Richards,26:04,3.0,4.0,75.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,9.0,10.0,1.0,1.0,2.0,2.0,2.0,7.0,2.0,01/02/2024,Sacramento Kings,26.0,DEN @ GSW
Cody Martin,32:46,4.0,10.0,40.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,10.0,-8.0,01/02/2024,Sacramento Kings,17.5,DEN @ GSW
Terry Rozier,36:18,13.0,24.0,54.2,3.0,11.0,27.3,5.0,6.0,83.3,0.0,3.0,3.0,6.0,1.0,2.0,2.0,3.0,34.0,-1.0,01/02/2024,Sacramento Kings,53.25,DEN @ GSW
Nathan Mensah,15:43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,-7.0,01/02/2024,Sacramento Kings,8.75,DEN @ GSW
Ish Smith,18:15,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,1.0,0.0,4.0,1.0,4.0,13.0,01/02/2024,Sacramento Kings,17.5,DEN @ GSW
P.J. Washington,29:04,7.0,13.0,53.8,3.0,6.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,1.0,17.0,16.0,01/02/2024,Sacramento Kings,31.0,DEN @ GSW
JT Thor,6:13,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,01/02/2024,Sacramento Kings,4.5,DEN @ GSW
Nick Smith Jr.,14:08,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,-2.0,01/02/2024,Sacramento Kings,12.5,DEN @ GSW
