,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Bryce McGowens,23:36,1.0,7.0,14.3,1.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,-6.0,01/08/2024,Chicago Bulls,7.75,PHX @ LAC
Miles Bridges,40:07,9.0,18.0,50.0,4.0,8.0,50.0,2.0,3.0,66.7,2.0,6.0,8.0,5.0,1.0,2.0,5.0,3.0,24.0,-2.0,01/08/2024,Chicago Bulls,47.0,PHX @ LAC
Nick Richards,38:30,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,0.0,3.0,0.0,4.0,10.0,-8.0,01/08/2024,Chicago Bulls,27.5,PHX @ LAC
Brandon Miller,30:36,2.0,11.0,18.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,3.0,4.0,4.0,-6.0,01/08/2024,Chicago Bulls,18.0,PHX @ LAC
Terry Rozier,44:21,10.0,18.0,55.6,7.0,13.0,53.8,12.0,12.0,100.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,2.0,39.0,-9.0,01/08/2024,Chicago Bulls,58.25,PHX @ LAC
Ish Smith,15:21,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,01/08/2024,Chicago Bulls,3.5,PHX @ LAC
JT Thor,21:23,4.0,12.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,01/08/2024,Chicago Bulls,23.5,PHX @ LAC
Nathan Mensah,14:30,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,01/08/2024,Chicago Bulls,7.5,PHX @ LAC
Nick Smith Jr.,32:20,6.0,15.0,40.0,3.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,15.0,-4.0,01/08/2024,Chicago Bulls,26.5,PHX @ LAC
James Bouknight,4:16,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,-2.0,01/08/2024,Chicago Bulls,9.0,PHX @ LAC
