,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bobby Portis,32:42,6.0,12.0,50.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,10.0,10.0,1.0,0.0,0.0,3.0,1.0,14.0,11.0,04/24/2022,27.0
Giannis Antetokounmpo,34:49,11.0,22.0,50.0,1.0,3.0,33.3,9.0,12.0,75.0,3.0,14.0,17.0,7.0,0.0,2.0,4.0,4.0,32.0,12.0,04/24/2022,66.25
Brook Lopez,21:47,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,15.0,04/24/2022,16.25
Wesley Matthews,26:17,2.0,6.0,33.3,2.0,5.0,40.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,10.0,04/24/2022,12.25
Jrue Holiday,36:57,10.0,21.0,47.6,5.0,8.0,62.5,1.0,2.0,50.0,0.0,2.0,2.0,7.0,1.0,0.0,2.0,4.0,26.0,23.0,04/24/2022,42.5
Jevon Carter,21:11,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,3.0,11.0,04/24/2022,9.0
Grayson Allen,28:24,10.0,12.0,83.3,6.0,7.0,85.7,1.0,1.0,100.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,27.0,23.0,04/24/2022,38.5
Pat Connaughton,28:03,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,5.0,8.0,04/24/2022,16.0
Thanasis Antetokounmpo,2:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04/24/2022,0.0
Serge Ibaka,2:47,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,04/24/2022,6.5
Jordan Nwora,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,04/24/2022,1.5
Rayjon Tucker,1:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,04/24/2022,0.0
