,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Wesley Matthews,27:44,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,4.0,-4.0,05/13/2022,11.5
Giannis Antetokounmpo,40:49,14.0,30.0,46.7,2.0,3.0,66.7,14.0,15.0,93.3,3.0,17.0,20.0,6.0,1.0,1.0,6.0,4.0,44.0,-5.0,05/13/2022,80.0
Brook Lopez,19:11,3.0,6.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,-22.0,05/13/2022,11.25
Grayson Allen,22:09,1.0,7.0,14.3,0.0,4.0,0.0,1.0,1.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,-29.0,05/13/2022,7.75
Jrue Holiday,42:21,7.0,17.0,41.2,3.0,10.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,17.0,-4.0,05/13/2022,36.5
Pat Connaughton,33:04,6.0,8.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,14.0,2.0,05/13/2022,23.0
Bobby Portis,29:09,2.0,8.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,0.0,0.0,4.0,4.0,-2.0,05/13/2022,16.5
George Hill,18:35,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,-1.0,05/13/2022,1.25
Jevon Carter,1:24,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,05/13/2022,3.25
Luca Vildoza,1:24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/13/2022,0.0
Jordan Nwora,1:24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/13/2022,0.0
Thanasis Antetokounmpo,1:24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,05/13/2022,2.25
Rayjon Tucker,1:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,05/13/2022,0.0
