,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bobby Portis,31:44,6.0,13.0,46.2,2.0,7.0,28.6,0.0,0.0,0.0,2.0,15.0,17.0,1.0,0.0,0.0,3.0,2.0,14.0,12.0,04/27/2022,36.25
Giannis Antetokounmpo,30:07,11.0,15.0,73.3,0.0,1.0,0.0,11.0,14.0,78.6,1.0,8.0,9.0,3.0,0.0,0.0,2.0,1.0,33.0,18.0,04/27/2022,47.75
Brook Lopez,29:18,4.0,8.0,50.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,4.0,5.0,0.0,0.0,2.0,1.0,3.0,12.0,10.0,04/27/2022,21.75
Wesley Matthews,27:15,3.0,6.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,8.0,16.0,04/27/2022,24.25
Jrue Holiday,35:59,4.0,14.0,28.6,1.0,7.0,14.3,1.0,2.0,50.0,1.0,4.0,5.0,9.0,0.0,0.0,6.0,0.0,10.0,17.0,04/27/2022,27.25
Grayson Allen,27:16,5.0,10.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,13.0,6.0,04/27/2022,23.25
Pat Connaughton,23:21,7.0,11.0,63.6,6.0,9.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,20.0,14.0,04/27/2022,26.5
Jevon Carter,21:20,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,0.0,2.0,6.0,17.0,04/27/2022,25.75
Thanasis Antetokounmpo,1:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,04/27/2022,2.5
Serge Ibaka,6:58,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,04/27/2022,2.0
Rayjon Tucker,1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,04/27/2022,0.0
Jordan Nwora,1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,04/27/2022,0.0
Luca Vildoza,1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,04/27/2022,0.0
