,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bobby Portis,26:02,5.0,7.0,71.4,0.0,2.0,0.0,3.0,3.0,100.0,1.0,7.0,8.0,0.0,0.0,0.0,2.0,2.0,13.0,-14.0,05/03/2022,22.0
Giannis Antetokounmpo,37:44,11.0,27.0,40.7,1.0,4.0,25.0,5.0,9.0,55.6,1.0,8.0,9.0,7.0,1.0,1.0,6.0,3.0,28.0,-11.0,05/03/2022,51.25
Brook Lopez,25:21,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,5.0,2.0,-18.0,05/03/2022,15.0
Wesley Matthews,29:53,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,-24.0,05/03/2022,9.0
Jrue Holiday,39:46,7.0,20.0,35.0,1.0,6.0,16.7,4.0,4.0,100.0,1.0,3.0,4.0,7.0,2.0,0.0,3.0,2.0,19.0,-16.0,05/03/2022,37.5
Grayson Allen,28:21,2.0,4.0,50.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,-6.0,05/03/2022,11.0
Pat Connaughton,25:00,6.0,7.0,85.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,-14.0,05/03/2022,14.25
Jevon Carter,18:33,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,-2.0,05/03/2022,5.25
Serge Ibaka,1:52,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/03/2022,0.0
Jordan Nwora,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/03/2022,1.25
Rayjon Tucker,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/03/2022,1.25
Luca Vildoza,1:52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/03/2022,0.0
Thanasis Antetokounmpo,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,05/03/2022,0.0
