,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Austin Rivers,22:34,3.0,7.0,42.9,1.0,4.0,25.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,7.0,11.0,04/10/2022,16.0
Jeff Green,23:33,7.0,8.0,87.5,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,16.0,11.0,04/10/2022,23.0
DeMarcus Cousins,23:31,5.0,7.0,71.4,2.0,3.0,66.7,5.0,6.0,83.3,4.0,5.0,9.0,5.0,1.0,2.0,3.0,5.0,17.0,1.0,04/10/2022,41.25
Bryn Forbes,36:21,6.0,14.0,42.9,5.0,11.0,45.5,7.0,7.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,24.0,-3.0,04/10/2022,30.75
Bones Hyland,24:03,6.0,15.0,40.0,2.0,9.0,22.2,3.0,3.0,100.0,0.0,4.0,4.0,6.0,0.0,3.0,2.0,3.0,17.0,9.0,04/10/2022,37.0
JaMychal Green,22:35,5.0,7.0,71.4,0.0,1.0,0.0,1.0,2.0,50.0,2.0,7.0,9.0,3.0,3.0,1.0,1.0,3.0,11.0,-1.0,04/10/2022,34.25
Davon Reed,29:27,6.0,10.0,60.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,2.0,14.0,-16.0,04/10/2022,25.25
Zeke Nnaji,26:19,1.0,9.0,11.1,0.0,4.0,0.0,3.0,3.0,100.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,-13.0,04/10/2022,10.0
Facundo Campazzo,8:39,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,3.0,04/10/2022,13.0
Vlatko Cancar,23:51,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,8.0,4.0,0.0,0.0,1.0,5.0,2.0,-10.0,04/10/2022,17.5
Markus Howard,24:07,8.0,17.0,47.1,2.0,8.0,25.0,7.0,8.0,87.5,2.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,25.0,-17.0,04/10/2022,33.25
