,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Aaron Gordon,39:42,5.0,11.0,45.5,0.0,4.0,0.0,5.0,8.0,62.5,5.0,3.0,8.0,2.0,1.0,2.0,3.0,1.0,15.0,2.0,04/27/2022,32.5
Jeff Green,29:20,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,1.0,1.0,0.0,2.0,2.0,-13.0,04/27/2022,18.75
Nikola Jokic,32:12,12.0,18.0,66.7,0.0,2.0,0.0,6.0,8.0,75.0,3.0,16.0,19.0,8.0,1.0,2.0,6.0,5.0,30.0,0.0,04/27/2022,68.75
Will Barton,39:47,5.0,13.0,38.5,2.0,6.0,33.3,2.0,4.0,50.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,14.0,2.0,04/27/2022,19.25
Monte Morris,36:03,5.0,12.0,41.7,2.0,6.0,33.3,2.0,3.0,66.7,0.0,3.0,3.0,7.0,1.0,0.0,1.0,4.0,14.0,-9.0,04/27/2022,30.75
Austin Rivers,4:33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,04/27/2022,0.0
Bones Hyland,18:33,0.0,6.0,0.0,0.0,5.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,-1.0,04/27/2022,9.0
JaMychal Green,10:24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,04/27/2022,0.0
DeMarcus Cousins,15:17,8.0,12.0,66.7,2.0,3.0,66.7,1.0,2.0,50.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,19.0,-2.0,04/27/2022,26.5
Bryn Forbes,11:01,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,04/27/2022,7.25
Facundo Campazzo,3:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,04/27/2022,2.75
