,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Aaron Gordon,25:25,3.0,9.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,0.0,1.0,1.0,2.0,7.0,-12.0,04/18/2022,19.75
Jeff Green,22:52,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-7.0,04/18/2022,6.0
Nikola Jokic,28:17,9.0,20.0,45.0,0.0,4.0,0.0,8.0,8.0,100.0,5.0,6.0,11.0,4.0,1.0,2.0,3.0,5.0,26.0,-26.0,04/18/2022,50.25
Will Barton,30:56,5.0,15.0,33.3,2.0,4.0,50.0,0.0,0.0,0.0,3.0,7.0,10.0,2.0,1.0,0.0,3.0,0.0,12.0,-10.0,04/18/2022,29.0
Monte Morris,25:22,5.0,8.0,62.5,2.0,3.0,66.7,0.0,1.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,12.0,-10.0,04/18/2022,21.5
Bones Hyland,17:05,2.0,4.0,50.0,2.0,2.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,-13.0,04/18/2022,14.0
Austin Rivers,20:50,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,-17.0,04/18/2022,10.25
JaMychal Green,17:33,1.0,7.0,14.3,0.0,4.0,0.0,2.0,2.0,100.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,-10.0,04/18/2022,15.0
Bryn Forbes,24:03,3.0,6.0,50.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,10.0,-8.0,04/18/2022,14.25
DeMarcus Cousins,12:12,3.0,5.0,60.0,1.0,1.0,100.0,1.0,2.0,50.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,3.0,8.0,5.0,04/18/2022,19.5
Facundo Campazzo,5:53,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,04/18/2022,3.5
Zeke Nnaji,4:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,04/18/2022,0.0
Vlatko Cancar,4:46,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,04/18/2022,6.25
