,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Marcus Smart,39:09,9.0,16.0,56.3,8.0,14.0,57.1,3.0,4.0,75.0,1.0,1.0,2.0,5.0,1.0,0.0,3.0,2.0,29.0,13.0,01/05/2024,Los Angeles Lakers,43.5,OKC @ BKN
Jaren Jackson Jr.,29:30,11.0,14.0,78.6,5.0,6.0,83.3,4.0,4.0,100.0,0.0,9.0,9.0,1.0,0.0,3.0,3.0,5.0,31.0,1.0,01/05/2024,Los Angeles Lakers,50.75,OKC @ BKN
Bismack Biyombo,31:15,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,1.0,0.0,0.0,2.0,2.0,6.0,17.0,01/05/2024,Los Angeles Lakers,19.0,OKC @ BKN
Desmond Bane,37:00,8.0,14.0,57.1,5.0,8.0,62.5,3.0,4.0,75.0,0.0,5.0,5.0,13.0,1.0,0.0,3.0,2.0,24.0,11.0,01/05/2024,Los Angeles Lakers,52.75,OKC @ BKN
Ja Morant,34:37,7.0,17.0,41.2,3.0,7.0,42.9,4.0,5.0,80.0,2.0,5.0,7.0,7.0,1.0,1.0,2.0,3.0,21.0,15.0,01/05/2024,Los Angeles Lakers,44.75,OKC @ BKN
Santi Aldama,9:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.0,01/05/2024,Los Angeles Lakers,1.5,OKC @ BKN
Luke Kennard,20:28,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,01/05/2024,Los Angeles Lakers,11.75,OKC @ BKN
Ziaire Williams,20:19,6.0,11.0,54.5,2.0,6.0,33.3,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,15.0,10.0,01/05/2024,Los Angeles Lakers,19.75,OKC @ BKN
David Roddy,6:40,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01/05/2024,Los Angeles Lakers,2.5,OKC @ BKN
Xavier Tillman,11:48,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,6.0,01/05/2024,Los Angeles Lakers,12.25,OKC @ BKN
