,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Marcus Smart,29:43,1.0,7.0,14.3,0.0,4.0,0.0,3.0,4.0,75.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,5.0,2.0,01/02/2024,San Antonio Spurs,10.5,DEN @ GSW
Jaren Jackson Jr.,32:01,3.0,14.0,21.4,1.0,4.0,25.0,3.0,4.0,75.0,1.0,6.0,7.0,1.0,3.0,4.0,1.0,4.0,10.0,2.0,01/02/2024,San Antonio Spurs,34.25,DEN @ GSW
Bismack Biyombo,27:56,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,1.0,3.0,2.0,4.0,4.0,8.0,01/02/2024,San Antonio Spurs,22.5,DEN @ GSW
Desmond Bane,34:15,11.0,17.0,64.7,2.0,6.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,24.0,3.0,01/02/2024,San Antonio Spurs,30.25,DEN @ GSW
Ja Morant,35:19,7.0,15.0,46.7,3.0,9.0,33.3,9.0,12.0,75.0,0.0,5.0,5.0,10.0,1.0,0.0,4.0,3.0,26.0,-1.0,01/02/2024,San Antonio Spurs,48.75,DEN @ GSW
Santi Aldama,28:07,5.0,6.0,83.3,1.0,2.0,50.0,2.0,2.0,100.0,2.0,9.0,11.0,0.0,0.0,1.0,0.0,1.0,13.0,12.0,01/02/2024,San Antonio Spurs,29.25,DEN @ GSW
Luke Kennard,20:43,3.0,7.0,42.9,3.0,7.0,42.9,3.0,3.0,100.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,12.0,16.0,01/02/2024,San Antonio Spurs,24.25,DEN @ GSW
Derrick Rose,8:37,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,01/02/2024,San Antonio Spurs,7.0,DEN @ GSW
Vince Williams Jr.,21:58,3.0,6.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,5.0,8.0,13.0,01/02/2024,San Antonio Spurs,17.25,DEN @ GSW
John Konchar,0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/02/2024,San Antonio Spurs,0.0,DEN @ GSW
Xavier Tillman,0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/02/2024,San Antonio Spurs,0.0,DEN @ GSW
David Roddy,0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/02/2024,San Antonio Spurs,0.0,DEN @ GSW
Ziaire Williams,0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,01/02/2024,San Antonio Spurs,0.0,DEN @ GSW
