,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
02/04/2012,OKC,HOU @ DEN,W,240,107,37,88,42.0,12,23,52.2,21,25,84.0,11,34,45,21,4,7,10,22,11
02/02/2012,NOH,NYK @ BOS,W,240,93,34,74,45.9,4,19,21.1,21,27,77.8,10,30,40,16,4,3,11,15,12
02/01/2012,HOU,NYK @ BOS,W,240,99,35,76,46.1,7,18,38.9,22,31,71.0,8,30,38,15,10,2,13,15,8
01/30/2012,MEM,WAS @ ORL,W,240,83,32,80,40.0,10,24,41.7,9,15,60.0,14,32,46,23,9,4,18,18,10
01/29/2012,DAL,WAS @ ORL,L,265,100,39,94,41.5,12,25,48.0,10,19,52.6,14,38,52,23,7,2,10,17,-1
01/27/2012,MIN,NYK @ HOU,L,240,79,31,75,41.3,7,16,43.8,10,11,90.9,2,32,34,17,5,8,12,17,-8
01/25/2012,ATL,NJN @ PHI,W,240,105,42,82,51.2,11,23,47.8,10,15,66.7,9,35,44,29,10,3,20,16,22
01/23/2012,NOH,NJN @ PHI,W,240,104,41,75,54.7,7,16,43.8,15,20,75.0,4,23,27,28,8,1,10,10,2
01/21/2012,HOU,TOR @ LAC,L,240,102,42,94,44.7,7,22,31.8,11,15,73.3,16,27,43,24,6,2,14,15,-3
01/20/2012,SAC,TOR @ LAC,L,240,86,31,82,37.8,5,25,20.0,19,21,90.5,13,32,45,19,7,2,13,16,-2
01/18/2012,ORL,NOH @ HOU,W,265,85,36,84,42.9,2,17,11.8,11,18,61.1,4,37,41,18,5,5,9,22,2
01/17/2012,MIA,NOH @ HOU,L,240,98,38,80,47.5,10,25,40.0,12,17,70.6,11,25,36,21,7,1,17,18,-22
01/15/2012,PHX,CLE @ CHA,W,240,102,40,81,49.4,5,19,26.3,17,23,73.9,8,40,48,27,7,6,14,15,11
01/13/2012,POR,MIA @ DEN,W,240,99,38,74,51.4,6,17,35.3,17,25,68.0,11,39,50,23,8,7,23,22,16
01/11/2012,HOU,MIA @ DEN,W,265,101,42,92,45.7,5,16,31.3,12,17,70.6,13,29,42,23,8,9,12,12,6
01/10/2012,MIL,DAL @ DET,L,240,103,45,75,60.0,4,14,28.6,9,16,56.3,5,30,35,29,6,6,16,16,-3
01/08/2012,OKC,DAL @ DET,L,240,96,35,84,41.7,7,12,58.3,19,25,76.0,10,32,42,20,9,2,11,22,-12
01/07/2012,DEN,DEN @ SAS,W,240,121,49,89,55.1,9,20,45.0,14,18,77.8,15,23,38,27,6,5,16,19,4
01/05/2012,DAL,DEN @ SAS,W,240,93,34,86,39.5,16,33,48.5,9,16,56.3,9,33,42,22,9,1,9,17,22
01/04/2012,GSW,PHX @ DAL,W,240,101,37,78,47.4,10,17,58.8,17,24,70.8,9,36,45,23,4,7,13,14,6
01/02/2012,MIN,PHX @ DAL,L,240,96,36,82,43.9,7,20,35.0,17,21,81.0,9,21,30,26,9,3,9,15,-10
12/31/2011,UTA,NOH @ SAC,W,240,104,36,74,48.6,10,16,62.5,22,31,71.0,5,41,46,26,4,5,19,21,15
12/29/2011,HOU,DET @ BOS,L,240,85,35,93,37.6,2,17,11.8,13,20,65.0,22,24,46,12,4,7,12,10,-20
12/28/2011,LAC,DET @ BOS,W,240,115,45,80,56.3,10,19,52.6,15,15,100,7,36,43,27,3,1,17,23,25
