,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
DeMar DeRozan,32:11,4.0,9.0,44.4,0.0,0.0,0.0,3.0,5.0,60.0,0.0,5.0,5.0,4.0,1.0,0.0,3.0,2.0,11.0,-23.0,04/22/2022,23.75
Patrick Williams,30:29,0.0,9.0,0.0,0.0,4.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,-15.0,04/22/2022,13.0
Nikola Vucevic,30:21,8.0,17.0,47.1,3.0,9.0,33.3,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,19.0,-19.0,04/22/2022,34.5
Zach LaVine,30:54,6.0,13.0,46.2,2.0,4.0,50.0,1.0,1.0,100.0,0.0,5.0,5.0,5.0,1.0,0.0,2.0,2.0,15.0,-22.0,04/22/2022,30.75
Alex Caruso,25:40,3.0,7.0,42.9,3.0,5.0,60.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,9.0,-20.0,04/22/2022,14.5
Coby White,21:08,2.0,9.0,22.2,1.0,6.0,16.7,1.0,2.0,50.0,0.0,8.0,8.0,1.0,0.0,0.0,1.0,2.0,6.0,-19.0,04/22/2022,17.5
Derrick Jones Jr.,14:10,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-11.0,04/22/2022,5.5
Tristan Thompson,11:32,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,-16.0,04/22/2022,2.5
Javonte Green,7:40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/22/2022,2.5
Ayo Dosunmu,17:48,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,2.0,1.0,4.0,-11.0,04/22/2022,15.5
Troy Brown Jr.,12:00,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,04/22/2022,6.0
Tony Bradley,6:07,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,04/22/2022,13.75
