,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Javonte Green,26:37,1.0,8.0,12.5,0.0,5.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,2.0,7.0,0.0,4.0,3.0,3.0,-2.0,04/27/2022,20.5
Patrick Williams,34:31,9.0,13.0,69.2,4.0,7.0,57.1,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,23.0,-24.0,04/27/2022,26.25
Nikola Vucevic,36:58,8.0,15.0,53.3,3.0,9.0,33.3,0.0,0.0,0.0,2.0,14.0,16.0,6.0,0.0,2.0,3.0,5.0,19.0,-18.0,04/27/2022,52.0
DeMar DeRozan,42:57,5.0,10.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,7.0,3.0,0.0,2.0,2.0,11.0,-15.0,04/27/2022,29.0
Ayo Dosunmu,22:29,3.0,11.0,27.3,1.0,4.0,25.0,1.0,1.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,8.0,-12.0,04/27/2022,13.75
Coby White,31:33,6.0,16.0,37.5,4.0,13.0,30.8,1.0,1.0,100.0,0.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,17.0,-15.0,04/27/2022,30.25
Troy Brown Jr.,22:40,4.0,11.0,36.4,2.0,9.0,22.2,0.0,0.0,0.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,1.0,10.0,2.0,04/27/2022,24.0
Derrick Jones Jr.,13:51,3.0,8.0,37.5,1.0,5.0,20.0,2.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,-2.0,04/27/2022,10.75
Tristan Thompson,6:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,04/27/2022,2.5
Tony Bradley,1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,04/27/2022,2.75
