,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
DeMar DeRozan,28:17,2.0,11.0,18.2,0.0,1.0,0.0,5.0,5.0,100.0,2.0,6.0,8.0,5.0,1.0,1.0,5.0,2.0,9.0,-9.0,11/02/2022,Charlotte Hornets,28.0
Patrick Williams,32:35,7.0,9.0,77.8,2.0,3.0,66.7,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,16.0,19.0,11/02/2022,Charlotte Hornets,26.25
Nikola Vucevic,31:35,5.0,16.0,31.3,2.0,6.0,33.3,2.0,2.0,100.0,2.0,11.0,13.0,3.0,0.0,1.0,4.0,2.0,14.0,-4.0,11/02/2022,Charlotte Hornets,35.75
Zach LaVine,31:57,4.0,16.0,25.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,10.0,19.0,11/02/2022,Charlotte Hornets,29.0
Ayo Dosunmu,30:53,3.0,10.0,30.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,3.0,8.0,4.0,11/02/2022,Charlotte Hornets,16.5
Javonte Green,27:00,7.0,7.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,3.0,5.0,8.0,1.0,2.0,3.0,3.0,3.0,17.0,13.0,11/02/2022,Charlotte Hornets,38.5
Alex Caruso,24:11,2.0,3.0,66.7,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,6.0,12.0,11/02/2022,Charlotte Hornets,14.5
Goran Dragic,15:16,6.0,9.0,66.7,2.0,4.0,50.0,2.0,2.0,100.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0,1.0,16.0,14.0,11/02/2022,Charlotte Hornets,25.75
Derrick Jones Jr.,16:25,2.0,6.0,33.3,2.0,2.0,100.0,4.0,4.0,100.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,3.0,10.0,22.0,11/02/2022,Charlotte Hornets,23.75
Dalen Terry,1:51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/02/2022,Charlotte Hornets,1.25
