,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
DeMar DeRozan,42:56,6.0,25.0,24.0,0.0,2.0,0.0,6.0,6.0,100.0,1.0,7.0,8.0,6.0,3.0,0.0,3.0,3.0,18.0,-5.0,04/17/2022,41.5
Patrick Williams,23:11,1.0,3.0,33.3,0.0,2.0,0.0,3.0,4.0,75.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,3.0,5.0,-13.0,04/17/2022,12.25
Nikola Vucevic,38:38,9.0,27.0,33.3,2.0,10.0,20.0,4.0,5.0,80.0,8.0,9.0,17.0,3.0,1.0,2.0,3.0,3.0,24.0,-5.0,04/17/2022,55.25
Zach LaVine,36:37,6.0,19.0,31.6,2.0,10.0,20.0,4.0,4.0,100.0,0.0,10.0,10.0,3.0,1.0,1.0,3.0,5.0,18.0,-11.0,04/17/2022,38.5
Alex Caruso,32:51,3.0,7.0,42.9,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,7.0,-10.0,04/17/2022,18.25
Tristan Thompson,7:25,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,04/17/2022,4.5
Coby White,22:52,5.0,10.0,50.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,04/17/2022,18.0
Javonte Green,17:03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,04/17/2022,4.5
Ayo Dosunmu,8:44,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,04/17/2022,5.0
Derrick Jones Jr.,9:43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,04/17/2022,4.0
