,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
DeMar DeRozan,40:53,8.0,20.0,40.0,0.0,5.0,0.0,7.0,8.0,87.5,0.0,5.0,5.0,3.0,1.0,0.0,1.0,2.0,23.0,-24.0,04/24/2022,35.25
Patrick Williams,32:40,7.0,13.0,53.8,3.0,6.0,50.0,3.0,3.0,100.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,4.0,20.0,-22.0,04/24/2022,34.0
Nikola Vucevic,38:20,5.0,14.0,35.7,1.0,6.0,16.7,0.0,0.0,0.0,1.0,9.0,10.0,2.0,0.0,1.0,0.0,1.0,11.0,-10.0,04/24/2022,29.0
Zach LaVine,41:56,8.0,18.0,44.4,2.0,6.0,33.3,6.0,6.0,100.0,0.0,5.0,5.0,13.0,0.0,0.0,3.0,1.0,24.0,-12.0,04/24/2022,49.25
Alex Caruso,16:58,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,0.0,-8.0,04/24/2022,17.0
Coby White,12:59,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,-17.0,04/24/2022,6.5
Tristan Thompson,5:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,-7.0,04/24/2022,1.25
Derrick Jones Jr.,13:46,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,-9.0,04/24/2022,7.75
Ayo Dosunmu,29:21,3.0,7.0,42.9,2.0,5.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,8.0,-7.0,04/24/2022,16.5
Javonte Green,5:57,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,04/24/2022,9.0
Troy Brown Jr.,1:53,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,04/24/2022,0.0
