,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Mookie Betts RF,4,1,0,0,1,2,5,.265,.341,.527,.869,17,11,-0.025, 0.65,0.035,-0.060%,-0.01%, 0.33, -1.0,1,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Trea Turner SS,4,2,1,0,1,0,5,.304,.352,.476,.828,21,14,0.018, 0.80,0.071,-0.053%, 0.01%, 0.41, 0.3,1,2,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Freddie Freeman 1B,4,0,1,2,0,1,5,.319,.396,.519,.914,18,11,0.059, 0.76,0.091,-0.032%, 0.02%, 0.39, 0.3,11,0,SF,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Will Smith DH,4,3,4,1,1,0,5,.276,.368,.485,.854,20,11,0.115, 0.57,0.115,0.000%, 0.03%, 0.29, 2.7,,,"3B,2B",79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Justin Turner 3B,5,1,4,4,0,0,5,.257,.328,.406,.734,23,16,0.074, 0.72,0.074,0.000%, 0.02%, 0.37, 3.2,0,4,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Hanser Alberto 2B,5,0,1,2,0,0,5,.227,.236,.364,.600,21,15,0.009, 0.79,0.148,-0.139%, 0.00%, 0.40, -0.5,1,3,3B,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Trayce Thompson CF-LF,5,0,2,0,0,2,5,.227,.301,.379,.680,19,12,-0.022, 0.52,0.028,-0.050%,-0.01%, 0.26, -0.3,4,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Austin Barnes C,3,1,0,0,2,1,5,.158,.296,.316,.611,22,13,0.032, 0.42,0.052,-0.019%, 0.01%, 0.21, 0.2,7,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Gavin Lux LF,3,1,0,0,1,1,4,.296,.371,.420,.791,22,14,-0.038, 0.59,0.016,-0.054%,-0.01%, 0.30, -0.5,1,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
   Cody Bellinger CF,1,0,0,0,0,0,1,.209,.271,.379,.649,4,3,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.1,1,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
Clayton Kershaw P,,,,,,,,,,,,,,,,,,,,,0,2,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
   Reyes Moronta P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 8mph out to Centerfield, Sunny, No Precipitation.
